docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
47,0,1,Donald,donald,Donald,subst:sg:nom:m1,PROPN,B-PER,1
47,0,2,Trump,trump,Trump,subst:sg:nom:m1,PROPN,I-PER,1
47,0,3,zaprosił,,zaprosić,praet:sg:m1:perf,VERB,O,
47,0,4,Viktora,viktor,Viktor,subst:sg:acc:m1,PROPN,B-PER,67
47,0,5,Orbána,orbán,Orbána,subst:sg:acc:m1,PROPN,I-PER,67
47,0,6,do,,do,prep:gen,ADP,O,
47,0,7,Waszyngtonu,waszyngton,Waszyngton,subst:sg:gen:m3,PROPN,B-LOC,47
47,0,8,.,,.,interp,PUNCT,O,
47,1,1,Obama,obama,Obama,subst:sg:nom:m1,PROPN,B-PER,16
47,1,2,nigdy,,nigdy,adv,ADV,O,
47,1,3,tego,,to,subst:sg:gen:n:ncol,PRON,O,
47,1,4,nie,,nie,part,PART,O,
47,1,5,zrobił,,zrobić,praet:sg:m1:perf,VERB,O,
47,1,6,.,,.,interp,PUNCT,O,
47,1,7,.,,.,interp,PUNCT,O,
47,1,8,.,,.,interp,PUNCT,O,
47,2,1,Na,,na,prep:loc,ADP,O,
47,2,2,łamach,,łam,subst:pl:loc:m3,NOUN,O,
47,2,3,węgierskiego,,węgierski,adj:sg:gen:m3:pos,ADJ,O,
47,2,4,dziennika,,dziennik,subst:sg:gen:m3,NOUN,O,
47,2,5,"""",,"""",interp,PUNCT,O,
47,2,6,Világgazdaság,világgazdaság,Világgazdaság,subst:sg:gen:m1,PROPN,B-ORG,20771
47,2,7,"""",,"""",interp,PUNCT,O,
47,2,8,Viktor,viktor,Viktor,subst:sg:nom:m1,PROPN,B-PER,67
47,2,9,Orbán,orbán,Orbán,subst:sg:nom:m1,PROPN,I-PER,67
47,2,10,powiedział,,powiedzieć,praet:sg:m1:perf,VERB,O,
47,2,11,",",,",",interp,PUNCT,O,
47,2,12,że,,że,comp,SCONJ,O,
47,2,13,został,,zostać,praet:sg:m1:perf,AUX,O,
47,2,14,zaproszony,,zaprosić,ppas:sg:nom:m1:perf:aff,ADJ,O,
47,2,15,do,,do,prep:gen,ADP,O,
47,2,16,Waszyngtonu,waszyngton,Waszyngton,subst:sg:gen:m3,PROPN,B-LOC,47
47,2,17,przez,,przez,prep:acc:nwok,ADP,O,
47,2,18,Donalda,donald,Donald,subst:sg:acc:m1,PROPN,B-PER,1
47,2,19,Trumpa,trump,Trump,subst:sg:acc:m1,PROPN,I-PER,1
47,2,20,.,,.,interp,PUNCT,O,
47,3,1,Przywódca,,przywódca,subst:sg:nom:m1,NOUN,O,
47,3,2,Madziarów,madziarów,Madziar,subst:pl:gen:m1,PROPN,B-PER,20772
47,3,3,poinformował,,poinformować,praet:sg:m1:perf,VERB,O,
47,3,4,",",,",",interp,PUNCT,O,
47,3,5,że,,że,comp,SCONJ,O,
47,3,6,zaproszenie,,zaproszenie,subst:sg:nom:n:ncol,NOUN,O,
47,3,7,otrzymał,,otrzymać,praet:sg:m1:perf,VERB,O,
47,3,8,podczas,,podczas,prep:gen,ADP,O,
47,3,9,rozmowy,,rozmowa,subst:sg:gen:f,NOUN,O,
47,3,10,telefonicznej,,telefoniczny,adj:sg:gen:f:pos,ADJ,O,
47,3,11,z,,z,prep:inst:nwok,ADP,O,
47,3,12,amerykańskim,,amerykański,adj:sg:inst:m1:pos,ADJ,O,
47,3,13,prezydentem,,prezydent,subst:sg:inst:m1,NOUN,O,
47,3,14,-,,-,interp,PUNCT,O,
47,3,15,elektem,,elekt,subst:sg:inst:m1,NOUN,O,
47,3,16,.,,.,interp,PUNCT,O,
