docId,sentenceId,tokenId,text,lemma,ner,clID
cs-1279,0,1,Jaký,,O,
cs-1279,0,2,brexit,,O,
cs-1279,0,3,Londýn,,O,
cs-1279,0,4,vlastně,,O,
cs-1279,0,5,chce,,O,
cs-1279,0,6,?,,O,
cs-1279,1,1,Poohlíží,,O,
cs-1279,1,2,se,,O,
cs-1279,1,3,po,,O,
cs-1279,1,4,trzích,,O,
cs-1279,1,5,mimo,,O,
cs-1279,1,6,Evropu,,O,
cs-1279,2,1,Britská,,O,
cs-1279,2,2,vláda,,O,
cs-1279,2,3,se,,O,
cs-1279,2,4,musí,,O,
cs-1279,2,5,domluvit,,O,
cs-1279,2,6,",",,O,
cs-1279,2,7,jaké,,O,
cs-1279,2,8,vztahy,,O,
cs-1279,2,9,chce,,O,
cs-1279,2,10,s,,O,
cs-1279,2,11,EU,,O,
cs-1279,2,12,mít,,O,
cs-1279,2,13,poté,,O,
cs-1279,2,14,",",,O,
cs-1279,2,15,co,,O,
cs-1279,2,16,ji,,O,
cs-1279,2,17,opustí,,O,
cs-1279,2,18,-,,O,
cs-1279,2,19,Londýn,,O,
cs-1279,2,20,v,,O,
cs-1279,2,21,tom,,O,
cs-1279,2,22,stále,,O,
cs-1279,2,23,nemá,,O,
cs-1279,2,24,jasno,,O,
cs-1279,2,25,.,,O,
cs-1279,3,1,Britové,,O,
cs-1279,3,2,se,,O,
cs-1279,3,3,kromě,,O,
cs-1279,3,4,toho,,O,
cs-1279,3,5,chtějí,,O,
cs-1279,3,6,zapojit,,O,
cs-1279,3,7,do,,O,
cs-1279,3,8,plánované,,O,
cs-1279,3,9,dohody,,O,
cs-1279,3,10,o,,O,
cs-1279,3,11,volném,,O,
cs-1279,3,12,obchodu,,O,
cs-1279,3,13,mezi,,O,
cs-1279,3,14,státy,,O,
cs-1279,3,15,Pacifiku,,O,
cs-1279,3,16,.,,O,
cs-1279,4,1,Ekonomicky,,O,
cs-1279,4,2,jednoznačně,,O,
cs-1279,4,3,nejdůležitější,,O,
cs-1279,4,4,jsou,,O,
cs-1279,4,5,ale,,O,
cs-1279,4,6,pro,,O,
cs-1279,4,7,Spojené,,O,
cs-1279,4,8,království,,O,
cs-1279,4,9,vztahy,,O,
cs-1279,4,10,s,,O,
cs-1279,4,11,Evropskou,,O,
cs-1279,4,12,unií,,O,
cs-1279,4,13,.,,O,
cs-1279,5,1,Velká,,O,
cs-1279,5,2,Británie,,O,
cs-1279,5,3,se,,O,
cs-1279,5,4,musí,,O,
cs-1279,5,5,co,,O,
cs-1279,5,6,nejdříve,,O,
cs-1279,5,7,domluvit,,O,
cs-1279,5,8,",",,O,
cs-1279,5,9,jaké,,O,
cs-1279,5,10,by,,O,
cs-1279,5,11,chtěla,,O,
cs-1279,5,12,mít,,O,
cs-1279,5,13,vztahy,,O,
cs-1279,5,14,s,,O,
cs-1279,5,15,Evropskou,,O,
cs-1279,5,16,unií,,O,
cs-1279,5,17,poté,,O,
cs-1279,5,18,",",,O,
cs-1279,5,19,co,,O,
cs-1279,5,20,z,,O,
cs-1279,5,21,ní,,O,
cs-1279,5,22,vystoupí,,O,
cs-1279,5,23,.,,O,
cs-1279,6,1,Londýn,,O,
cs-1279,6,2,v,,O,
cs-1279,6,3,tom,,O,
cs-1279,6,4,ani,,O,
cs-1279,6,5,rok,,O,
cs-1279,6,6,a,,O,
cs-1279,6,7,půl,,O,
cs-1279,6,8,po,,O,
cs-1279,6,9,referendu,,O,
cs-1279,6,10,o,,O,
cs-1279,6,11,brexitu,,O,
cs-1279,6,12,nemá,,O,
cs-1279,6,13,jasno,,O,
cs-1279,6,14,.,,O,
cs-1279,7,1,Hlavním,,O,
cs-1279,7,2,důvodem,,O,
cs-1279,7,3,jsou,,O,
cs-1279,7,4,spory,,O,
cs-1279,7,5,mezi,,O,
cs-1279,7,6,vládními,,O,
cs-1279,7,7,konzervativci,,O,
cs-1279,7,8,.,,O,
cs-1279,8,1,Británie,,O,
cs-1279,8,2,by,,O,
cs-1279,8,3,přitom,,O,
cs-1279,8,4,měla,,O,
cs-1279,8,5,už,,O,
cs-1279,8,6,tento,,O,
cs-1279,8,7,měsíc,,O,
cs-1279,8,8,začít,,O,
cs-1279,8,9,s,,O,
cs-1279,8,10,EU,,O,
cs-1279,8,11,jednat,,O,
cs-1279,8,12,o,,O,
cs-1279,8,13,tom,,O,
cs-1279,8,14,",",,O,
cs-1279,8,15,jak,,O,
cs-1279,8,16,budou,,O,
cs-1279,8,17,vzájemné,,O,
cs-1279,8,18,vztahy,,O,
cs-1279,8,19,do,,O,
cs-1279,8,20,budoucna,,O,
cs-1279,8,21,vypadat,,O,
cs-1279,8,22,.,,O,
cs-1279,9,1,Britové,,O,
cs-1279,9,2,začali,,O,
cs-1279,9,3,zkoumat,,O,
cs-1279,9,4,možnost,,O,
cs-1279,9,5,",",,O,
cs-1279,9,6,že,,O,
cs-1279,9,7,by,,O,
cs-1279,9,8,po,,O,
cs-1279,9,9,odchodu,,O,
cs-1279,9,10,z,,O,
cs-1279,9,11,EU,,O,
cs-1279,9,12,vstoupili,,O,
cs-1279,9,13,do,,O,
cs-1279,9,14,dohody,,O,
cs-1279,9,15,o,,O,
cs-1279,9,16,volném,,O,
cs-1279,9,17,obchodu,,O,
cs-1279,9,18,zvané,,O,
cs-1279,9,19,Transpacifické,,O,
cs-1279,9,20,partnerství,,O,
cs-1279,9,21,(,,O,
cs-1279,9,22,TPP,,O,
cs-1279,9,23,),,O,
cs-1279,9,24,",",,O,
cs-1279,9,25,která,,O,
cs-1279,9,26,zahrnuje,,O,
cs-1279,9,27,11,,O,
cs-1279,9,28,zemí,,O,
cs-1279,9,29,včetně,,O,
cs-1279,9,30,Japonska,,O,
cs-1279,9,31,",",,O,
cs-1279,9,32,Austrálie,,O,
cs-1279,9,33,nebo,,O,
cs-1279,9,34,Mexika,,O,
cs-1279,9,35,.,,O,
cs-1279,10,1,Původními,,O,
cs-1279,10,2,členy,,O,
cs-1279,10,3,byly,,O,
cs-1279,10,4,i,,O,
cs-1279,10,5,Spojené,,O,
cs-1279,10,6,státy,,O,
cs-1279,10,7,",",,O,
cs-1279,10,8,ale,,O,
cs-1279,10,9,nový,,O,
cs-1279,10,10,prezident,,O,
cs-1279,10,11,Donald,,O,
cs-1279,10,12,Trump,,O,
cs-1279,10,13,jejich,,O,
cs-1279,10,14,účast,,O,
cs-1279,10,15,zrušil,,O,
cs-1279,10,16,.,,O,
cs-1279,11,1,Pokud,,O,
cs-1279,11,2,by,,O,
cs-1279,11,3,Spojené,,O,
cs-1279,11,4,království,,O,
cs-1279,11,5,k,,O,
cs-1279,11,6,dohodě,,O,
cs-1279,11,7,skutečně,,O,
cs-1279,11,8,přistoupilo,,O,
cs-1279,11,9,",",,O,
cs-1279,11,10,bylo,,O,
cs-1279,11,11,by,,O,
cs-1279,11,12,jedinou,,O,
cs-1279,11,13,členskou,,O,
cs-1279,11,14,zemí,,O,
cs-1279,11,15,mimo,,O,
cs-1279,11,16,pacifickou,,O,
cs-1279,11,17,oblast,,O,
cs-1279,11,18,.,,O,
