docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
pl-944,0,1,Niemiecki,,niemiecki,adj:sg:nom:m3:pos,ADJ,O,
pl-944,0,2,Trybunał,Trybunał,trybunał,subst:sg:nom:m3,NOUN,B-ORG,ORG-Federal-Constitutional-Court
pl-944,0,3,Konstytucyjny,Konstytucyjny,konstytucyjny,adj:sg:nom:m3:pos,ADJ,I-ORG,ORG-Federal-Constitutional-Court
pl-944,0,4,odrzuca,,odrzucać,fin:sg:ter:imperf,VERB,O,
pl-944,0,5,skargę,,skarga,subst:sg:acc:f,NOUN,O,
pl-944,0,6,na,,na,prep:acc,ADP,O,
pl-944,0,7,Nord,Nord,Nord,subst:sg:loc:n,PROPN,B-PRO,PRO-Nord-Stream-2
pl-944,0,8,Stream,Stream,Stream,subst:sg:loc:n,PROPN,I-PRO,PRO-Nord-Stream-2
pl-944,0,9,2,2,2,dig,X,I-PRO,PRO-Nord-Stream-2
pl-944,1,1,Niemiecki,,niemiecki,adj:sg:nom:m3:pos,ADJ,O,
pl-944,1,2,Federalny,Federalny,federalny,adj:sg:nom:m3:pos,ADJ,B-ORG,ORG-Federal-Constitutional-Court
pl-944,1,3,Trybunał,Trybunał,trybunał,subst:sg:nom:m3,NOUN,I-ORG,ORG-Federal-Constitutional-Court
pl-944,1,4,Konstytucyjny,Konstytucyjny,konstytucyjny,adj:sg:nom:m3:pos,ADJ,I-ORG,ORG-Federal-Constitutional-Court
pl-944,1,5,w,,w,prep:loc:nwok,ADP,O,
pl-944,1,6,Karlsruhe,Karlsruhe,Karlsruhe,subst:sg:loc:n:ncol,PROPN,B-LOC,GPE-Karlsruhe
pl-944,1,7,odrzucił,,odrzucić,praet:sg:m3:perf,VERB,O,
pl-944,1,8,skargę,,skarga,subst:sg:acc:f,NOUN,O,
pl-944,1,9,organizacji,,organizacja,subst:sg:gen:f,NOUN,O,
pl-944,1,10,ekologicznej,,ekologiczny,adj:sg:gen:f:pos,ADJ,O,
pl-944,1,11,NABU,NABU,NABU,subst:sg:gen:f,PROPN,B-ORG,ORG-NABU-NGO
pl-944,1,12,na,,na,prep:acc,ADP,O,
pl-944,1,13,gazociąg,,gazociąg,subst:sg:acc:m3,NOUN,O,
pl-944,1,14,Nord,Nord,Nord,subst:sg:acc:m3,PROPN,B-PRO,PRO-Nord-Stream-2
pl-944,1,15,Stream,Stream,Stream,subst:sg:acc:m3,PROPN,I-PRO,PRO-Nord-Stream-2
pl-944,1,16,2,2,2,dig,X,I-PRO,PRO-Nord-Stream-2
pl-944,1,17,.,,.,interp,PUNCT,O,
pl-944,2,1,Związek,,związek,subst:sg:nom:m3,NOUN,O,
pl-944,2,2,żądał,,żądać,praet:sg:m3:imperf,VERB,O,
pl-944,2,3,zamrożenia,,zamrozić,ger:sg:gen:n:perf:aff,NOUN,O,
pl-944,2,4,budowy,,budowa,subst:sg:gen:f,NOUN,O,
pl-944,2,5,gazociągu,,gazociąg,subst:sg:gen:m3,NOUN,O,
pl-944,2,6,aż,,aż,part,PART,O,
pl-944,2,7,do,,do,prep:gen,ADP,O,
pl-944,2,8,wydania,,wydać,ger:sg:gen:n:perf:aff,NOUN,O,
pl-944,2,9,opinii,,opinia,subst:sg:gen:f,NOUN,O,
pl-944,2,10,przez,,przez,prep:acc:nwok,ADP,O,
pl-944,2,11,ten,,ten,adj:sg:acc:m3:pos,DET,O,
pl-944,2,12,organ,,organ,subst:sg:acc:m3,NOUN,O,
pl-944,2,13,.,,.,interp,PUNCT,O,
pl-944,3,1,NABU,NABU,NABU,subst:sg:nom:f,PROPN,B-ORG,ORG-NABU-NGO
pl-944,3,2,złożyła,,złożyć,praet:sg:f:perf,VERB,O,
pl-944,3,3,skargę,,skarga,subst:sg:acc:f,NOUN,O,
pl-944,3,4,na,,na,prep:acc,ADP,O,
pl-944,3,5,pozytywną,,pozytywny,adj:sg:acc:f:pos,ADJ,O,
pl-944,3,6,opinię,,opinia,subst:sg:acc:f,NOUN,O,
pl-944,3,7,Wyższego,Wyższy,wysoki,adj:sg:gen:m3:com,ADJ,B-ORG,ORG-Higher-Administrative-Court-Germany
pl-944,3,8,Sądu,Sąd,sąd,subst:sg:gen:m3,NOUN,I-ORG,ORG-Higher-Administrative-Court-Germany
pl-944,3,9,Administracyjnego,Administracyjny,administracyjny,adj:sg:gen:m3:pos,ADJ,I-ORG,ORG-Higher-Administrative-Court-Germany
pl-944,3,10,w,,w,prep:loc:nwok,ADP,O,
pl-944,3,11,tej,,ten,adj:sg:loc:f:pos,DET,O,
pl-944,3,12,sprawie,,sprawa,subst:sg:loc:f,NOUN,O,
pl-944,3,13,",",,",",interp,PUNCT,O,
pl-944,3,14,którą,,który,adj:sg:acc:f:pos,DET,O,
pl-944,3,15,unieważnić,,unieważnić,inf:perf,VERB,O,
pl-944,3,16,miał,,mieć,praet:sg:m3:imperf,VERB,O,
pl-944,3,17,Trybunał,Trybunał,trybunał,subst:sg:nom:m3,NOUN,B-ORG,ORG-Federal-Constitutional-Court
pl-944,3,18,Konstytucyjny,Konstytucyjny,konstytucyjny,adj:sg:nom:m3:pos,ADJ,I-ORG,ORG-Federal-Constitutional-Court
pl-944,3,19,.,,.,interp,PUNCT,O,
pl-944,4,1,Organizacja,,organizacja,subst:sg:nom:f,NOUN,O,
pl-944,4,2,ekologiczna,,ekologiczny,adj:sg:nom:f:pos,ADJ,O,
