docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
bg-1244,0,1,The,The,the,Npmsi,PROPN,B-PRO,PRO-The-Guardian
bg-1244,0,2,Guardian,Guardian,guardian,Npmsi,PROPN,I-PRO,PRO-The-Guardian
bg-1244,0,3,:,,:,punct,PUNCT,O,
bg-1244,1,1,ЕС,ЕС,ес,Npmsi,PROPN,B-ORG,ORG-European-Union
bg-1244,1,2,публикува,,публикувам,Vpitf-r3s,VERB,O,
bg-1244,1,3,план,,план,Ncmsi,NOUN,O,
bg-1244,1,4,за,,за,R,ADP,O,
bg-1244,1,5,задържането,,задържане,Ncnsd,NOUN,O,
bg-1244,1,6,на,,на,R,ADP,O,
bg-1244,1,7,Северна,Северна,северен,Afsi,ADJ,B-LOC,GPE-Northern-Ireland
bg-1244,1,8,Ирландия,Ирландия,ирландия,Npfsi,PROPN,I-LOC,GPE-Northern-Ireland
bg-1244,1,9,в,,в,R,ADP,O,
bg-1244,1,10,м,,метър,Ncmsi,NOUN,O,
bg-1244,1,11,...,,...,punct,PUNCT,O,
bg-1244,2,1,Брюксел,Брюксел,брюксел,Npmsi,PROPN,B-LOC,GPE-Brussles
bg-1244,2,2,.,,.,punct,PUNCT,O,
bg-1244,3,1,Главният,,главен,Amsf,ADJ,O,
bg-1244,3,2,преговарящ,,преговарям,Vpitcar-smi,ADJ,O,
bg-1244,3,3,на,,на,R,ADP,O,
bg-1244,3,4,Европейския,Европейски,европейски,Amsh,ADJ,B-ORG,ORG-European-Union
bg-1244,3,5,съюз,съюз,съюз,Ncmsi,NOUN,I-ORG,ORG-European-Union
bg-1244,3,6,за,,за,R,ADP,O,
bg-1244,3,7,Брекзит,Брекзит,брекзит,Npfsi,PROPN,B-EVT,EVT-Brexit
bg-1244,3,8,Мишел,Мишел,мишел,Npmsi,PROPN,B-PER,PER-Michel-Barnier
bg-1244,3,9,Барние,Барние,барние,Hmsi,PROPN,I-PER,PER-Michel-Barnier
bg-1244,3,10,заяви,,заявя,Vpptf-o3s,VERB,O,
bg-1244,3,11,",",,",",punct,PUNCT,O,
bg-1244,3,12,че,,че,Cs,SCONJ,O,
