docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
bg-1106,0,1,Киев,Киев,киев,Npmsi,PROPN,B-LOC,GPE-Kiev
bg-1106,0,2,се,,се,Ppxta,PRON,O,
bg-1106,0,3,озъби,,озъбя-(се),Vpptf-o3s,VERB,O,
bg-1106,0,4,на,,на,R,ADP,O,
bg-1106,0,5,Берлин,Берлин,берлин,Npmsi,PROPN,B-LOC,GPE-Berlin
bg-1106,0,6,",",,",",punct,PUNCT,O,
bg-1106,0,7,който,,който,Pre-os-m,PRON,O,
bg-1106,0,8,одобри,,одобря,Vpptf-o3s,VERB,O,
bg-1106,0,9,изграждането,,изграждане,Ncnsd,NOUN,O,
bg-1106,0,10,на,,на,R,ADP,O,
bg-1106,0,11,тръбопровода,,тръбопровод,Ncmsh,NOUN,O,
bg-1106,0,12,Петро,Петро,петро,Npmsi,PROPN,B-PER,PER-Petro-Poroshenko
bg-1106,0,13,Порошенко,Порошенко,порошенко,Hmsi,PROPN,I-PER,PER-Petro-Poroshenko
bg-1106,0,14,:,,:,punct,PUNCT,O,
bg-1106,1,1,Защитниците,,защитник,Ncmpd,NOUN,O,
bg-1106,1,2,на,,на,R,ADP,O,
bg-1106,1,3,„,,„,punct,PUNCT,O,
bg-1106,1,4,Северен,Северен,северен,Amsi,ADJ,B-PRO,PRO-Nord-Stream-2
bg-1106,1,5,поток-2,поток,поток-2,Ncmsi,NOUN,I-PRO,PRO-Nord-Stream-2
bg-1106,1,6,“,,“,punct,PUNCT,O,
bg-1106,1,7,са,,съм,Vxitf-r3p,AUX,O,
bg-1106,1,8,съучастници,,съучастник,Ncmpi,NOUN,O,
bg-1106,1,9,в,,в,R,ADP,O,
bg-1106,1,10,хибридната,,хибриден,Afsd,ADJ,O,
bg-1106,1,11,война,,война,Ncfsi,NOUN,O,
bg-1106,1,12,на,,на,R,ADP,O,
bg-1106,1,13,Русия,Русия,русия,Npfsi,PROPN,B-LOC,GPE-Russia
bg-1106,1,14,!,,!,punct,PUNCT,O,
bg-1106,2,1,Президентът,,президент,Ncmsf,NOUN,O,
bg-1106,2,2,е,,съм,Vxitf-r3s,AUX,O,
bg-1106,2,3,особено,,особено,Dd,ADV,O,
bg-1106,2,4,възмутен,,възмутя-(се),Vpptcv--smi,VERB,O,
bg-1106,2,5,от,,от,R,ADP,O,
bg-1106,2,6,това,,този,Pde-os-n,DET,O,
bg-1106,2,7,",",,",",punct,PUNCT,O,
bg-1106,2,8,че,,че,Cs,SCONJ,O,
bg-1106,2,9,в,,в,R,ADP,O,
bg-1106,2,10,резултат,,резултат,Ncmsi,NOUN,O,
bg-1106,2,11,на,,на,R,ADP,O,
bg-1106,2,12,осъществяването,,осъществяване,Ncnsd,NOUN,O,
bg-1106,2,13,на,,на,R,ADP,O,
bg-1106,2,14,проекта,,проект,Ncmsh,NOUN,O,
bg-1106,2,15,",",,",",punct,PUNCT,O,
bg-1106,2,16,Украйна,Украйна,украйна,Npfsi,PROPN,B-LOC,GPE-Ukraine
bg-1106,2,17,ще,,ще,Tx,AUX,O,
bg-1106,2,18,губи,,губя-(се),Vpitf-r3s,VERB,O,
bg-1106,2,19,годишно,,годишно,Dq,ADV,O,
bg-1106,2,20,два,,два,Mcmpi,NUM,O,
bg-1106,2,21,милиарда,,милиард,Ncmt,NOUN,O,
bg-1106,2,22,долара,,долар,Ncmt,NOUN,O,
bg-1106,2,23,такси,,такса,Ncfpi,NOUN,O,
bg-1106,2,24,заради,,заради,R,ADP,O,
bg-1106,2,25,транзита,,транзи,Ncmsh,NOUN,O,
bg-1106,2,26,на,,на,R,ADP,O,
bg-1106,2,27,...,,...,punct,PUNCT,O,
bg-1106,2,28,31,,31,Momsi,ADJ,O,
bg-1106,2,29,март,,март,Ncmsi,NOUN,O,
bg-1106,2,30,2018,,2018,Mofsi,ADJ,O,
bg-1106,2,31,|,,|,punct,PUNCT,O,
bg-1106,2,32,12:38,,12:38,Mofsi,ADJ,O,
bg-1106,3,1,Президентът,,президент,Ncmsf,NOUN,O,
bg-1106,3,2,на,,на,R,ADP,O,
bg-1106,3,3,Украйна,Украйна,украйна,Npfsi,PROPN,B-LOC,GPE-Ukraine
