docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
bg_3014,0,1,Холандското,,холандски,Ansd,ADJ,O,
bg_3014,0,2,правителство,,правителство,Ncnsi,NOUN,O,
bg_3014,0,3,предлага,,предлагам,Vpitf-r3s,VERB,O,
bg_3014,0,4,временно,,временен,Ansi,ADJ,O,
bg_3014,0,5,убежище,,убежище,Ncnsi,NOUN,O,
bg_3014,0,6,на,,на,R,ADP,O,
bg_3014,0,7,Азия,Азия,азия,Npfsi,PROPN,B-PER,PER-Asia-Bibi
bg_3014,0,8,Биби,Биби,биби,Npfsi,PROPN,I-PER,PER-Asia-Bibi
bg_3014,0,9,",",,",",punct,PUNCT,O,
bg_3014,0,10,която,,който,Pre-os-f,PRON,O,
bg_3014,0,11,напусна,,напусна,Vpptf-o3s,VERB,O,
bg_3014,0,12,...,,...,punct,PUNCT,O,
bg_3014,1,1,Холандия,Холандия,холандия,Npfsi,PROPN,B-LOC,GPE-Holland
bg_3014,1,2,приютява,,приютявам,Vpitf-r3s,VERB,O,
bg_3014,1,3,съдена,,съден,Vpptcv--sfi,ADJ,O,
bg_3014,1,4,за,,за,R,ADP,O,
bg_3014,1,5,богохулство,,богохулство,Ncnsi,NOUN,O,
bg_3014,1,6,пакистанка,пакистанка,пакистанка,Ncfsi,NOUN,B-PER,GPE-Pakistan
bg_3014,1,7,.,,.,punct,PUNCT,O,
bg_3014,2,1,Холандското,,холандски,Ansd,ADJ,O,
bg_3014,2,2,правителство,,правителство,Ncnsi,NOUN,O,
bg_3014,2,3,предлага,,предлагам,Vpitf-r3s,VERB,O,
bg_3014,2,4,временно,,временен,Ansi,ADJ,O,
bg_3014,2,5,убежище,,убежище,Ncnsi,NOUN,O,
bg_3014,2,6,на,,на,R,ADP,O,
bg_3014,2,7,Азия,Азия,азия,Npfsi,PROPN,B-PER,PER-Asia-Bibi
bg_3014,2,8,Биби,Биби,биби,Npfsi,PROPN,I-PER,PER-Asia-Bibi
bg_3014,2,9,",",,",",punct,PUNCT,O,
bg_3014,2,10,която,,който,Pre-os-f,PRON,O,
bg_3014,2,11,напусна,,напусна,Vpptf-o3s,VERB,O,
bg_3014,2,12,Пакистан,пакистанка,пакистан,Npmsi,PROPN,B-PER,GPE-Pakistan
bg_3014,2,13,поради,,поради,R,ADP,O,
bg_3014,2,14,опасения,,опасение,Ncnpi,NOUN,O,
bg_3014,2,15,за,,за,R,ADP,O,
bg_3014,2,16,живота,,живот,Ncmsh,NOUN,O,
bg_3014,2,17,си,,свой,Psxto,PRON,O,
bg_3014,2,18,",",,",",punct,PUNCT,O,
bg_3014,2,19,заяви,,заявя,Vpptf-o3s,VERB,O,
bg_3014,2,20,външният,,външен,Amsf,ADJ,O,
bg_3014,2,21,министър,,министър,Ncmsi,NOUN,O,
bg_3014,2,22,на,,на,R,ADP,O,
bg_3014,2,23,кралството,,кралство,Ncnsd,NOUN,O,
bg_3014,2,24,Стеф,Стеф,стеф,Npmsi,PROPN,B-PER,PER-Stef-Blok
bg_3014,2,25,Блок,Блок,блок,Ncmsi,NOUN,I-PER,PER-Stef-Blok
bg_3014,2,26,.,,.,punct,PUNCT,O,
bg_3014,3,1,Програмата,,програма,Ncfsd,NOUN,O,
bg_3014,3,2,Shelter,Shelter,shelter,Npmsi,PROPN,B-ORG,ORG-Shelter-City
bg_3014,3,3,City,City,city,Npmsi,PROPN,I-ORG,ORG-Shelter-City
bg_3014,3,4,съществува,,съществувам,Vpiif-r3s,VERB,O,
bg_3014,3,5,от,,от,R,ADP,O,
bg_3014,3,6,2012,,2012,Mofsi,ADJ,O,
bg_3014,3,7,г.,,година,Ncfsi,NOUN,O,
bg_3014,3,8,и,,и,Cp,CCONJ,O,
bg_3014,3,9,предлага,,предлагам,Vpitf-r3s,VERB,O,
bg_3014,3,10,подслон,,подслон,Ncmsi,NOUN,O,
bg_3014,3,11,в,,в,R,ADP,O,
bg_3014,3,12,Холандия,Холандия,холандия,Npfsi,PROPN,B-LOC,GPE-Holland
bg_3014,3,13,за,,за,R,ADP,O,
bg_3014,3,14,защитници,,защитник,Ncmpi,NOUN,O,
bg_3014,3,15,на,,на,R,ADP,O,
bg_3014,3,16,правата,,право,Ncnpd,NOUN,O,
bg_3014,3,17,на,,на,R,ADP,O,
bg_3014,3,18,човека,,човек,Ncmsh,NOUN,O,
bg_3014,3,19,.,,.,punct,PUNCT,O,
bg_3014,4,1,Участниците,,участник,Ncmpd,NOUN,O,
bg_3014,4,2,в,,в,R,ADP,O,
bg_3014,4,3,програмата,,програма,Ncfsd,NOUN,O,
bg_3014,4,4,могат,,мога,Vpiif-r3p,VERB,O,
bg_3014,4,5,да,,да,Tx,AUX,O,
bg_3014,4,6,останат,,остана,Vppif-r3p,VERB,O,
bg_3014,4,7,в,,в,R,ADP,O,
bg_3014,4,8,убежище,,убежище,Ncnsi,NOUN,O,
bg_3014,4,9,за,,за,R,ADP,O,
bg_3014,4,10,период,,период,Ncmsi,NOUN,O,
bg_3014,4,11,до,,до,R,ADP,O,
bg_3014,4,12,три,,три,Mc-pi,NUM,O,
bg_3014,4,13,месеца,,месец,Ncmt,NOUN,O,
bg_3014,4,14,.,,.,punct,PUNCT,O,
bg_3014,5,1,46-годишнат,,46-годишнат,Afsd,ADJ,O,
bg_3014,5,2,Азия,Азия,азия,Npfsi,PROPN,B-PER,PER-Asia-Bibi
bg_3014,5,3,Норийн,Норийн,норийн,Npmsi,PROPN,I-PER,PER-Asia-Bibi
bg_3014,5,4,",",,",",punct,PUNCT,O,
bg_3014,5,5,по-известен,,известен,Amsi,ADJ,O,
bg_3014,5,6,като,,като,R,ADP,O,
bg_3014,5,7,Азия,Азия,азия,Npfsi,PROPN,B-PER,PER-Asia-Bibi
bg_3014,5,8,Биби,Биби,биби,Npfsi,PROPN,I-PER,PER-Asia-Bibi
bg_3014,5,9,",",,",",punct,PUNCT,O,
bg_3014,5,10,бе,,съм,Vxitf-t3s,AUX,O,
bg_3014,5,11,осъдена,,осъдя,Vpptcv--sfi,VERB,O,
bg_3014,5,12,през,,през,R,ADP,O,
bg_3014,5,13,2009,,2009,Mofsi,ADJ,O,
bg_3014,5,14,г.,,година,Ncfsi,NOUN,O,
bg_3014,5,15,на,,на,R,ADP,O,
bg_3014,5,16,смърт,,смърт,Ncfsi,NOUN,O,
bg_3014,5,17,чрез,,чрез,R,ADP,O,
bg_3014,5,18,обесване,,обесване,Ncnsi,NOUN,O,
bg_3014,5,19,по,,по,R,ADP,O,
bg_3014,5,20,обвинение,,обвинение,Ncnsi,NOUN,O,
bg_3014,5,21,",",,",",punct,PUNCT,O,
bg_3014,5,22,че,,че,Cs,SCONJ,O,
bg_3014,5,23,е,,съм,Vxitf-r3s,AUX,O,
bg_3014,5,24,говорила,,говоря,Vpitcao-sfi,VERB,O,
bg_3014,5,25,против,,против,R,ADP,O,
bg_3014,5,26,пророка,,пророк,Ncmsh,NOUN,O,
bg_3014,5,27,Мохамед,Мохамед,мохамед,Npmsi,PROPN,B-PER,PER-Prophet-Muhammad
bg_3014,5,28,.,,.,punct,PUNCT,O,
bg_3014,6,1,На,,на,R,ADP,O,
bg_3014,6,2,14,,14,Momsi,ADJ,O,
bg_3014,6,3,юни,,юни,Ncmsi,NOUN,O,
bg_3014,6,4,2009,,2009,Mofsi,ADJ,O,
bg_3014,6,5,г.,,година,Ncfsi,NOUN,O,
bg_3014,6,6,тя,,аз,Ppe-os3f,PRON,O,
bg_3014,6,7,отишла,,отида-(си),Vppicao-sfi,VERB,O,
bg_3014,6,8,да,,да,Tx,AUX,O,
bg_3014,6,9,събира,,събирам-(се),Vpitf-r3s,VERB,O,
bg_3014,6,10,плодове,,плод,Ncmpi,NOUN,O,
bg_3014,6,11,",",,",",punct,PUNCT,O,
bg_3014,6,12,с,,с,R,ADP,O,
bg_3014,6,13,което,,който,Pre-os-n,PRON,O,
bg_3014,6,14,допринасяла,,допринасям,Vpitcam-sfi,VERB,O,
bg_3014,6,15,за,,за,R,ADP,O,
bg_3014,6,16,семейния,,семеен,Amsh,ADJ,O,
bg_3014,6,17,бюджет,,бюджет,Ncmsi,NOUN,O,
bg_3014,6,18,и,,и,Cp,CCONJ,O,
bg_3014,6,19,поискала,,поискам,Vpptcao-sfi,VERB,O,
bg_3014,6,20,да,,да,Tx,AUX,O,
bg_3014,6,21,пие,,пия,Vpitf-r3s,VERB,O,
bg_3014,6,22,вода,,вода,Ncfsi,NOUN,O,
bg_3014,6,23,от,,от,R,ADP,O,
bg_3014,6,24,„мюсюлмански“,,„мюсюлмански“,Amsi,ADJ,O,
bg_3014,6,25,кладенец,,кладенец,Ncmsi,NOUN,O,
bg_3014,6,26,.,,.,punct,PUNCT,O,
bg_3014,7,1,Работейки,,работейкя-(се),Vpitz--2s,VERB,O,
bg_3014,7,2,с,,с,R,ADP,O,
bg_3014,7,3,нея,,аз,Ppelas3f,PRON,O,
bg_3014,7,4,",",,",",punct,PUNCT,O,
bg_3014,7,5,други,,друг,A-pi,ADJ,O,
bg_3014,7,6,мюсюлманки,,мюсюлманка,Ncfpi,NOUN,O,
bg_3014,7,7,я,,аз,Ppetas3f,PRON,O,
bg_3014,7,8,обвинили,,обвиня,Vpptcao-p-i,VERB,O,
bg_3014,7,9,",",,",",punct,PUNCT,O,
