docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
ru-121,0,1,В,,в,,ADP,O,
ru-121,0,2,Пакистане,Пакистан,Пакистан,,PROPN,B-LOC,GPE-Pakistan
ru-121,0,3,оправдали,,оправдать,,VERB,O,
ru-121,0,4,христианку,,христианка,,NOUN,O,
ru-121,0,5,",",,",",,PUNCT,O,
ru-121,0,6,приговоренную,,приговорить,,VERB,O,
ru-121,0,7,к,,к,,ADP,O,
ru-121,0,8,казни,,казнь,,NOUN,O,
ru-121,0,9,за,,за,,ADP,O,
ru-121,0,10,богохульство,,богохульство,,NOUN,O,
ru-121,1,1,Суд,,суд,,NOUN,O,
ru-121,1,2,в,,в,,ADP,O,
ru-121,1,3,Пакистане,Пакистан,Пакистан,,PROPN,B-LOC,GPE-Pakistan
ru-121,1,4,отменил,,отменить,,VERB,O,
ru-121,1,5,смертный,,смертный,,ADJ,O,
ru-121,1,6,приговор,,приговор,,NOUN,O,
ru-121,1,7,для,,для,,ADP,O,
ru-121,1,8,христианки,,христианка,,NOUN,O,
ru-121,1,9,Асии,Асия,Асия,,PROPN,B-PER,PER-Asia-Bibi
ru-121,1,10,Биби,Биби,Биби,,PROPN,I-PER,PER-Asia-Bibi
ru-121,1,11,",",,",",,PUNCT,O,
ru-121,1,12,осужденной,,осудить,,VERB,O,
ru-121,1,13,за,,за,,ADP,O,
ru-121,1,14,богохульство,,богохульство,,NOUN,O,
ru-121,1,15,.,,.,,PUNCT,O,
ru-121,2,1,Женщину,,женщина,,NOUN,O,
ru-121,2,2,обвинили,,обвинить,,VERB,O,
ru-121,2,3,в,,в,,ADP,O,
ru-121,2,4,оскорблении,,оскорбление,,NOUN,O,
ru-121,2,5,пророка,,пророк,,NOUN,O,
ru-121,2,6,Мухаммеда,Мухаммед,Мухаммед,,PROPN,B-PER,PER-Prophet-Muhammad
ru-121,2,7,в,,в,,ADP,O,
ru-121,2,8,2010,,2010,,NUM,O,
ru-121,2,9,году,,год,,NOUN,O,
ru-121,2,10,после,,после,,ADP,O,
ru-121,2,11,того,,то,,PRON,O,
ru-121,2,12,",",,",",,PUNCT,O,
ru-121,2,13,как,,как,,SCONJ,O,
ru-121,2,14,она,,она,,PRON,O,
ru-121,2,15,принесла,,принести,,VERB,O,
ru-121,2,16,мусульманкам,,мусульманка,,NOUN,O,
ru-121,2,17,воды,,вода,,NOUN,O,
ru-121,2,18,",",,",",,PUNCT,O,
ru-121,2,19,которая,,который,,PRON,O,
ru-121,2,20,",",,",",,PUNCT,O,
ru-121,2,21,по,,по,,ADP,O,
ru-121,2,22,их,,их,,DET,O,
ru-121,2,23,мнению,,мнение,,NOUN,O,
ru-121,2,24,",",,",",,PUNCT,O,
ru-121,2,25,стала,,стать,,VERB,O,
ru-121,2,26,нечистой,,нечистый,,ADJ,O,
ru-121,2,27,от,,от,,ADP,O,
ru-121,2,28,прикосновения,,прикосновение,,NOUN,O,
ru-121,2,29,христианки,,христианка,,NOUN,O,
ru-121,2,30,к,,к,,ADP,O,
ru-121,2,31,кувшину,,кувшина,,NOUN,O,
ru-121,2,32,.,,.,,PUNCT,O,
ru-121,3,1,Осужденная,,осудить,,VERB,O,
ru-121,3,2,отрицала,,отрицать,,VERB,O,
ru-121,3,3,свою,,свой,,DET,O,
ru-121,3,4,вину,,вина,,NOUN,O,
ru-121,3,5,.,,.,,PUNCT,O,
ru-121,4,1,Решение,,решение,,NOUN,O,
ru-121,4,2,суда,,суд,,NOUN,O,
ru-121,4,3,вызвало,,вызвать,,VERB,O,
ru-121,4,4,протесты,,протест,,NOUN,O,
ru-121,4,5,в,,в,,ADP,O,
ru-121,4,6,ряде,,ряд,,NOUN,O,
ru-121,4,7,городов,,город,,NOUN,O,
ru-121,4,8,Пакистана,Пакистан,Пакистан,,PROPN,B-LOC,GPE-Pakistan
ru-121,4,9,.,,.,,PUNCT,O,
ru-121,5,1,Несогласные,,несогласный,,ADJ,O,
ru-121,5,2,с,,с,,ADP,O,
ru-121,5,3,вердиктом,,вердикт,,NOUN,O,
ru-121,5,4,перекрыли,,перекрыть,,VERB,O,
ru-121,5,5,дороги,,дорога,,NOUN,O,
ru-121,5,6,.,,.,,PUNCT,O,
ru-121,6,1,В,,в,,ADP,O,
ru-121,6,2,столице,,столица,,NOUN,O,
ru-121,6,3,страны,,страна,,NOUN,O,
ru-121,6,4,Исламабаде,Исламабад,Исламабад,,PROPN,B-LOC,GPE-Islamabad
ru-121,6,5,усилены,,усилить,,VERB,O,
ru-121,6,6,меры,,мера,,NOUN,O,
ru-121,6,7,безопасности,,безопасность,,NOUN,O,
ru-121,6,8,.,,.,,PUNCT,O,
ru-121,7,1,Ряд,,ряд,,NOUN,O,
ru-121,7,2,политиков,,политик,,NOUN,O,
ru-121,7,3,призвали,,призвать,,VERB,O,
ru-121,7,4,к,,к,,ADP,O,
ru-121,7,5,отставке,,отставка,,NOUN,O,
ru-121,7,6,правительства,,правительство,,NOUN,O,
ru-121,7,7,.,,.,,PUNCT,O,
ru-121,8,1,Асия,Асия,асия,,NOUN,B-PER,PER-Asia-Bibi
ru-121,8,2,Биби,Биби,Биби,,PROPN,I-PER,PER-Asia-Bibi
ru-121,8,3,стала,,стать,,VERB,O,
ru-121,8,4,первой,,первый,,ADJ,O,
ru-121,8,5,женщиной,,женщина,,NOUN,O,
ru-121,8,6,",",,",",,PUNCT,O,
ru-121,8,7,приговоренной,,приговорить,,VERB,O,
ru-121,8,8,в,,в,,ADP,O,
ru-121,8,9,Пакистане,Пакистан,Пакистан,,PROPN,B-LOC,GPE-Pakistan
ru-121,8,10,к,,к,,ADP,O,
ru-121,8,11,смертной,,смертный,,ADJ,O,
ru-121,8,12,казни,,казнь,,NOUN,O,
ru-121,8,13,за,,за,,ADP,O,
ru-121,8,14,богохульство,,богохульство,,NOUN,O,
