model_name,fine_tuned,train_bundle,epochs,test_dataset,precision_score,recall_score,f1_score
bert-base-multilingual-cased,True,bsnlp-2021-bg,5,bsnlp-2021-bg,0.9798945581270664,0.9790197303812159,0.9794569489103251
bert-base-multilingual-cased,True,bsnlp-2021-bg,5,bsnlp-2021-cs,0.8897719419488597,0.7924296045545468,0.8382843655896475
bert-base-multilingual-cased,True,bsnlp-2021-bg,5,bsnlp-2021-pl,0.7859365276913504,0.7488142292490119,0.7669264244509665
bert-base-multilingual-cased,True,bsnlp-2021-bg,5,bsnlp-2021-ru,0.862520957171163,0.8589860352155434,0.8607498669100312
bert-base-multilingual-cased,True,bsnlp-2021-bg,5,bsnlp-2021-sl,0.8525530694205393,0.6786937656999315,0.7557533375715193
bert-base-multilingual-cased,True,bsnlp-2021-bg,5,bsnlp-2021-uk,0.7855980471928397,0.7897750511247443,0.7876810116255354
bert-base-multilingual-cased,True,bsnlp-2021-bg,5,bsnlp-2021-all,0.8755303378827378,0.8308110205665502,0.8525846835411532
bert-base-multilingual-cased,True,bsnlp-2021-cs,5,bsnlp-2021-bg,0.7343368934488268,0.7795732523881796,0.7562792309024771
bert-base-multilingual-cased,True,bsnlp-2021-cs,5,bsnlp-2021-cs,0.9748427672955975,0.9778427450376981,0.976340451682286
bert-base-multilingual-cased,True,bsnlp-2021-cs,5,bsnlp-2021-pl,0.8604243722016741,0.8735177865612648,0.8669216436206727
bert-base-multilingual-cased,True,bsnlp-2021-cs,5,bsnlp-2021-ru,0.8194799338644221,0.827565270188221,0.8235027565893814
bert-base-multilingual-cased,True,bsnlp-2021-cs,5,bsnlp-2021-sl,0.8319828408007627,0.7972139757935601,0.8142274052478135
bert-base-multilingual-cased,True,bsnlp-2021-cs,5,bsnlp-2021-uk,0.7493383742911153,0.8106339468302658,0.7787819253438113
bert-base-multilingual-cased,True,bsnlp-2021-cs,5,bsnlp-2021-all,0.8263075537009815,0.8452658129608072,0.8356791751588539
bert-base-multilingual-cased,True,bsnlp-2021-pl,5,bsnlp-2021-bg,0.7432420376483183,0.7437728774216588,0.7435073627844712
bert-base-multilingual-cased,True,bsnlp-2021-pl,5,bsnlp-2021-cs,0.8989707046714173,0.8735190029235267,0.8860621195567349
