docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
sl-18,0,1,Premier,,premier,Ncmsn,NOUN,O,
sl-18,0,2,Janša,,Janša,Npmsn,PROPN,O,
sl-18,0,3,:,,:,Z,PUNCT,O,
sl-18,0,4,Z,,z,Si,ADP,O,
sl-18,0,5,veseljem,,veselje,Ncnsi,NOUN,O,
sl-18,0,6,bomo,,biti,Va-f1p-n,AUX,O,
sl-18,0,7,čestitali,,čestitati,Vmbp-pm,VERB,O,
sl-18,0,8,tistemu,,tisti,Pd-msd,DET,O,
sl-18,0,9,",",,",",Z,PUNCT,O,
sl-18,0,10,ki,,ki,Cs,SCONJ,O,
sl-18,0,11,bo,,biti,Va-f3s-n,AUX,O,
sl-18,0,12,izvoljen,,izvoljen,Appmsnn,ADJ,O,
sl-18,0,13,za,,za,Sa,ADP,O,
sl-18,0,14,naslednjega,,naslednji,Agpmsa,ADJ,O,
sl-18,0,15,ameriškega,,ameriški,Agpmsa,ADJ,O,
sl-18,0,16,predsednika,,predsednik,Ncmsay,NOUN,O,
sl-18,0,17,.,,.,Z,PUNCT,O,
sl-18,1,1,A,,a,Cc,CCONJ,O,
sl-18,1,2,volitve,,volitev,Ncfpn,NOUN,O,
sl-18,1,3,še,,še,Q,PART,O,
sl-18,1,4,niso,,biti,Va-r3p-y,AUX,O,
sl-18,1,5,končane,,končan,Appfpn,ADJ,O,
sl-18,1,6,.,,.,Z,PUNCT,O,
sl-18,2,1,Z,,z,Si,ADP,O,
sl-18,2,2,veseljem,,veselje,Ncnsi,NOUN,O,
sl-18,2,3,bomo,,biti,Va-f1p-n,AUX,O,
sl-18,2,4,čestitali,,čestitati,Vmbp-pm,VERB,O,
sl-18,2,5,tistemu,,tisti,Pd-msd,DET,O,
sl-18,2,6,",",,",",Z,PUNCT,O,
sl-18,2,7,ki,,ki,Cs,SCONJ,O,
sl-18,2,8,bo,,biti,Va-f3s-n,AUX,O,
sl-18,2,9,izvoljen,,izvoljen,Appmsnn,ADJ,O,
sl-18,2,10,za,,za,Sa,ADP,O,
sl-18,2,11,naslednjega,,naslednji,Agpmsa,ADJ,O,
sl-18,2,12,ameriškega,,ameriški,Agpmsa,ADJ,O,
sl-18,2,13,predsednika,,predsednik,Ncmsay,NOUN,O,
sl-18,2,14,",",,",",Z,PUNCT,O,
sl-18,2,15,je,,biti,Va-r3s-n,AUX,O,
sl-18,2,16,v,,v,Sl,ADP,O,
sl-18,2,17,odgovoru,,odgovor,Ncmsl,NOUN,O,
sl-18,2,18,na,,na,Sa,ADP,O,
sl-18,2,19,poslansko,,poslanski,Agpnsa,ADJ,O,
sl-18,2,20,vprašanje,,vprašanje,Ncnsa,NOUN,O,
sl-18,2,21,danes,,danes,Rgp,ADV,O,
sl-18,2,22,dejal,,dejati,Vmep-sm,VERB,O,
sl-18,2,23,premier,,premier,Ncmsn,NOUN,O,
sl-18,2,24,Janez,,Janez,Npmsn,PROPN,O,
sl-18,2,25,Janša,,Janša,Npmsn,PROPN,O,
sl-18,2,26,.,,.,Z,PUNCT,O,
sl-18,3,1,Poudaril,,poudariti,Vmep-sm,VERB,O,
sl-18,3,2,je,,biti,Va-r3s-n,AUX,O,
sl-18,3,3,",",,",",Z,PUNCT,O,
sl-18,3,4,da,,da,Cs,SCONJ,O,
sl-18,3,5,Slovenija,,Slovenija,Npfsn,PROPN,O,
sl-18,3,6,goji,,gojiti,Vmpr3s,VERB,O,
sl-18,3,7,dobre,,dober,Agpmpa,ADJ,O,
sl-18,3,8,strateške,,strateški,Agpmpa,ADJ,O,
sl-18,3,9,in,,in,Cc,CCONJ,O,
sl-18,3,10,partnerske,,partnerski,Agpmpa,ADJ,O,
sl-18,3,11,odnose,,odnos,Ncmpa,NOUN,O,
sl-18,3,12,z,,z,Si,ADP,O,
sl-18,3,13,ZDA,,ZDA,Npfpi,PROPN,O,
sl-18,3,14,ne,,ne,Q,PART,O,
sl-18,3,15,glede,,glede,Rgp,ADV,O,
sl-18,3,16,na,,na,Sa,ADP,O,
sl-18,3,17,to,,ta,Pd-nsa,DET,O,
sl-18,3,18,",",,",",Z,PUNCT,O,
sl-18,3,19,katera,,kateri,Pq-fsn,DET,O,
sl-18,3,20,administracija,,administracija,Ncfsn,NOUN,O,
sl-18,3,21,je,,biti,Va-r3s-n,VERB,O,
sl-18,3,22,na,,na,Sl,ADP,O,
sl-18,3,23,oblasti,,oblast,Ncfsl,NOUN,O,
sl-18,3,24,.,,.,Z,PUNCT,O,
sl-18,4,1,Ob,,ob,Sl,ADP,O,
sl-18,4,2,tem,,ta,Pd-nsl,DET,O,
sl-18,4,3,je,,biti,Va-r3s-n,AUX,O,
sl-18,4,4,opozoril,,opozoriti,Vmep-sm,VERB,O,
sl-18,4,5,",",,",",Z,PUNCT,O,
sl-18,4,6,da,,da,Cs,SCONJ,O,
sl-18,4,7,volitve,,volitev,Ncfpn,NOUN,O,
sl-18,4,8,še,,še,Q,PART,O,
sl-18,4,9,niso,,biti,Va-r3p-y,AUX,O,
sl-18,4,10,končane,,končan,Appfpn,ADJ,O,
sl-18,4,11,.,,.,Z,PUNCT,O,
sl-18,5,1,“,,“,Z,PUNCT,O,
sl-18,5,2,Slovenija,,Slovenija,Npfsn,PROPN,O,
