docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
401,0,1,Дональд,дональд,Дональд,,PROPN,B-PER,1
401,0,2,Трамп,трамп,Трамп,,PROPN,I-PER,1
401,0,3,стал,,стать,,VERB,O,
401,0,4,главным,,главный,,ADJ,O,
401,0,5,героем,,герой,,NOUN,O,
401,0,6,нового,,новый,,ADJ,O,
401,0,7,клипа,,клипа,,NOUN,O,
401,0,8,Serebro,serebro,Serebro,,PROPN,B-ORG,10059
401,0,9,Бомбическим,,бомбический,,ADJ,O,
401,0,10,предновогодним,,предновогодний,,ADJ,O,
401,0,11,подарком,,подарок,,NOUN,O,
401,0,12,порадовала,,порадовать,,VERB,O,
401,0,13,группа,,группа,,NOUN,O,
401,0,14,Serebro,serebro,Serebro,,PROPN,B-ORG,10059
401,0,15,своих,,свой,,DET,O,
401,0,16,поклонников,,поклонник,,NOUN,O,
401,0,17,:,,:,,PUNCT,O,
401,0,18,девушки,,девушка,,NOUN,O,
401,0,19,презентовали,,презентовать,,VERB,O,
401,0,20,новый,,новый,,ADJ,O,
401,0,21,клип,,клип,,NOUN,O,
401,0,22,на,,на,,ADP,O,
401,0,23,ремейк,,ремейк,,NOUN,O,
401,0,24,песни,,песня,,NOUN,O,
401,0,25,My,my,My,,PROPN,B-MISC,10061
401,0,26,Money,money,Money,,PROPN,I-MISC,10061
401,0,27,из,,из,,ADP,O,
401,0,28,альбома,,альбом,,NOUN,O,
401,0,29,"""",,"""",,PUNCT,O,
401,0,30,Сила,сила,сила,,NOUN,B-MISC,10089
401,0,31,трех,трех,три,,NUM,I-MISC,10089
401,0,32,"""",,"""",,PUNCT,O,
401,0,33,Мы,,мы,,PRON,O,
401,0,34,не,,не,,PART,O,
401,0,35,готовились,,готовиться,,VERB,O,
401,0,36,к,,к,,ADP,O,
401,0,37,съемке,,съемка,,NOUN,O,
401,0,38,этого,,этот,,DET,O,
401,0,39,клипа,,клипа,,NOUN,O,
401,0,40,за,,за,,ADP,O,
401,0,41,месяц,,месяц,,NOUN,O,
401,0,42,или,,или,,CCONJ,O,
401,0,43,два,,два,,NUM,O,
401,0,44,",",,",",,PUNCT,O,
401,0,45,все,,все,,PRON,O,
401,0,46,было,,быть,,AUX,O,
401,0,47,спонтанно,,спонтанно,,ADJ,O,
401,0,48,и,,и,,CCONJ,O,
401,0,49,весело,,веселый,,ADJ,O,
401,0,50,",",,",",,PUNCT,O,
401,0,51,говорит,,говорить,,VERB,O,
401,0,52,Ольга,ольга,Ольга,,PROPN,B-PER,10090
401,0,53,Серябкина,серябкина,Серябкин,,PROPN,I-PER,10090
401,0,54,Просто,,просто,,PART,O,
401,0,55,захотели,,захотеть,,VERB,O,
401,0,56,создать,,создать,,VERB,O,
401,0,57,праздничное,,праздничный,,ADJ,O,
401,0,58,",",,",",,PUNCT,O,
401,0,59,новогоднее,,новогодний,,ADJ,O,
401,0,60,настроение,,настроение,,NOUN,O,
401,0,61,",",,",",,PUNCT,O,
401,0,62,и,,и,,CCONJ,O,
401,0,63,уж,,уж,,PART,O,
401,0,64,поверьте,,поверить,,VERB,O,
401,0,65,",",,",",,PUNCT,O,
401,0,66,у,,у,,ADP,O,
401,0,67,нас,,мы,,PRON,O,
401,0,68,это,,это,,PRON,O,
401,0,69,получилось,,получиться,,VERB,O,
401,0,70,.,,.,,PUNCT,O,
401,1,1,Казалось,,казаться,,VERB,O,
401,1,2,бы,,бы,,AUX,O,
401,1,3,",",,",",,PUNCT,O,
401,1,4,какое,,какой,,DET,O,
401,1,5,веселье,,веселье,,NOUN,O,
401,1,6,может,,мочь,,VERB,O,
401,1,7,быть,,быть,,AUX,O,
401,1,8,зимой,,зима,,NOUN,O,
401,1,9,?,,?,,PUNCT,O,
401,2,1,Но,,но,,CCONJ,O,
401,2,2,мы,,мы,,PRON,O,
401,2,3,не,,не,,PART,O,
401,2,4,согласны,,согласный,,ADJ,O,
401,2,5,",",,",",,PUNCT,O,
401,2,6,что,,что,,SCONJ,O,
401,2,7,холода,,холод,,NOUN,O,
401,2,8,это,,это,,PRON,O,
401,2,9,скучно,,скучный,,ADJ,O,
401,2,10,и,,и,,CCONJ,O,
401,2,11,грустно,,грустный,,ADJ,O,
401,2,12,.,,.,,PUNCT,O,
401,3,1,Наоборот,,наоборот,,ADV,O,
401,3,2,",",,",",,PUNCT,O,
401,3,3,зима,,зима,,NOUN,O,
401,3,4,это,,это,,PRON,O,
401,3,5,Новый,новый,новый,,ADJ,B-MISC,10091
401,3,6,год,год,год,,NOUN,I-MISC,10091
401,3,7,",",,",",,PUNCT,O,
401,3,8,люди,,человек,,NOUN,O,
