docId,sentenceId,tokenId,text,lemma,ner,clID
cs-33,0,1,Tohle,,O,
cs-33,0,2,hrozí,,O,
cs-33,0,3,Tereze,Tereza,B-PER,PER-Tereza-H-czech-girl-drug-smuggler
cs-33,0,4,:,,O,
cs-33,0,5,Pákistánské,,O,
cs-33,0,6,vězení,,O,
cs-33,0,7,je,,O,
cs-33,0,8,horší,,O,
cs-33,0,9,než,,O,
cs-33,0,10,peklo,,O,
cs-33,0,11,!,,O,
cs-33,1,1,FOTO,,O,
cs-33,2,1,Jednadvacetileté,,O,
cs-33,2,2,Tereze,Tereza,B-PER,PER-Tereza-H-czech-girl-drug-smuggler
cs-33,2,3,H,H,I-PER,PER-Tereza-H-czech-girl-drug-smuggler
cs-33,2,4,.,.,I-PER,PER-Tereza-H-czech-girl-drug-smuggler
cs-33,2,5,může,,O,
cs-33,2,6,být,,O,
cs-33,2,7,v,,O,
cs-33,2,8,Pákistánu,Pákistán,B-LOC,GPE-Pakistan
cs-33,2,9,za,,O,
cs-33,2,10,paování,,O,
cs-33,2,11,narkotik,,O,
cs-33,2,12,podle,,O,
cs-33,2,13,zákona,,O,
cs-33,2,14,vyměřen,,O,
cs-33,2,15,trest,,O,
cs-33,2,16,smrti,,O,
cs-33,2,17,",",,O,
cs-33,2,18,ten,,O,
cs-33,2,19,se,,O,
cs-33,2,20,ale,,O,
cs-33,2,21,podle,,O,
cs-33,2,22,českého,,O,
cs-33,2,23,ministerstva,,O,
cs-33,2,24,zahraničí,,O,
cs-33,2,25,obvykle,,O,
cs-33,2,26,neuplatňuje,,O,
cs-33,2,27,vůči,,O,
cs-33,2,28,cizincům,,O,
cs-33,2,29,.,,O,
cs-33,3,1,I,,O,
cs-33,3,2,tak,,O,
cs-33,3,3,jí,,O,
cs-33,3,4,ale,,O,
cs-33,3,5,hrozí,,O,
cs-33,3,6,několik,,O,
cs-33,3,7,let,,O,
cs-33,3,8,v,,O,
cs-33,3,9,pákistánském,,O,
cs-33,3,10,vězení,,O,
cs-33,3,11,.,,O,
cs-33,4,1,V,,O,
cs-33,4,2,ženských,,O,
cs-33,4,3,věznicích,,O,
cs-33,4,4,panují,,O,
cs-33,4,5,podle,,O,
cs-33,4,6,proputěných,,O,
cs-33,4,7,žen,,O,
cs-33,4,8,velmi,,O,
cs-33,4,9,tvrdé,,O,
cs-33,4,10,podmínky,,O,
cs-33,4,11,.,,O,
cs-33,5,1,Po,,O,
cs-33,5,2,dlouhých,,O,
cs-33,5,3,19,,O,
cs-33,5,4,letech,,O,
cs-33,5,5,ve,,O,
cs-33,5,6,věznici,,O,
cs-33,5,7,ve,,O,
cs-33,5,8,Faisalábádu,Faisalábád,B-LOC,GPE-Faisalabad
cs-33,5,9,propustili,,O,
cs-33,5,10,Rani,Rani,B-PER,PER-Rani-Bibiova
cs-33,5,11,Bibiovou,Bibiová,I-PER,PER-Rani-Bibiova
cs-33,5,12,",",,O,
cs-33,5,13,která,,O,
cs-33,5,14,měla,,O,
