docId,sentenceId,tokenId,text,lemma,ner,clID
sl-14,0,1,Putin,Putin,B-PER,PER-Vladimir-Putin
sl-14,0,2,danes,,O,
sl-14,0,3,pri,,O,
sl-14,0,4,Merklovi,Merkel,B-PER,PER-Angela-Merkel
sl-14,0,5,",",,O,
sl-14,0,6,še,,O,
sl-14,0,7,prej,,O,
sl-14,0,8,na,,O,
sl-14,0,9,poroki,,O,
sl-14,0,10,na,,O,
sl-14,0,11,avstrijskem,avstrijska,B-LOC,GPE-Austrian-Styria
sl-14,0,12,Štajerskem,Štajerska,I-LOC,GPE-Austrian-Styria
sl-14,1,1,Uradno,,O,
sl-14,1,2,Putin,Putin,B-PER,PER-Vladimir-Putin
sl-14,1,3,v,,O,
sl-14,1,4,Avstrijo,Avstrija,B-LOC,GPE-Austria
sl-14,1,5,prihaja,,O,
sl-14,1,6,na,,O,
sl-14,1,7,delovni,,O,
sl-14,1,8,obisk,,O,
sl-14,1,9,.,,O,
sl-14,2,1,Poroka,,O,
sl-14,2,2,bo,,O,
sl-14,2,3,potekala,,O,
sl-14,2,4,v,,O,
sl-14,2,5,gostišču,,O,
sl-14,2,6,v,,O,
sl-14,2,7,Gomilici,Gomilica,B-LOC,GPE-Gamlitz
sl-14,2,8,(,,O,
sl-14,2,9,Gamlitz,Gamlitz,B-LOC,GPE-Gamlitz
sl-14,2,10,),,O,
sl-14,2,11,v,,O,
sl-14,2,12,vinskih,,O,
sl-14,2,13,goricah,,O,
sl-14,2,14,avstrijske,avstrijska,B-LOC,GPE-Austrian-Styria
sl-14,2,15,Štajerske,Štajerska,I-LOC,GPE-Austrian-Styria
sl-14,2,16,nedaleč,,O,
sl-14,2,17,od,,O,
sl-14,2,18,meje,,O,
sl-14,2,19,s,,O,
sl-14,2,20,Slovenijo,Slovenija,B-LOC,GPE-Slovenia
sl-14,2,21,.,,O,
sl-14,3,1,53-letna,,O,
sl-14,3,2,Kneisslova,Kneissl,B-PER,PER-Karin-Kneissl
sl-14,3,3,se,,O,
sl-14,3,4,bo,,O,
sl-14,3,5,poročila,,O,
sl-14,3,6,s,,O,
sl-14,3,7,svojim,,O,
sl-14,3,8,dolgoletnim,,O,
sl-14,3,9,življenjskim,,O,
sl-14,3,10,sopotnikom,,O,
sl-14,3,11,",",,O,
sl-14,3,12,54-letnim,,O,
sl-14,3,13,poslovnežem,,O,
sl-14,3,14,Wolfgangom,Wolfgang,B-PER,PER-Wolfgang-Meilinger
sl-14,3,15,Meilingerjem,Meilinger,I-PER,PER-Wolfgang-Meilinger
sl-14,3,16,.,,O,
sl-14,4,1,Poroke,,O,
sl-14,4,2,naj,,O,
sl-14,4,3,bi,,O,
sl-14,4,4,se,,O,
sl-14,4,5,udeležilo,,O,
sl-14,4,6,okoli,,O,
sl-14,4,7,sto,,O,
sl-14,4,8,gostov,,O,
sl-14,4,9,",",,O,
sl-14,4,10,med,,O,
sl-14,4,11,njimi,,O,
sl-14,4,12,tudi,,O,
sl-14,4,13,avstrijski,,O,
sl-14,4,14,kancler,,O,
sl-14,4,15,Sebastian,Sebastian,B-PER,PER-Sebastian-Kurz
sl-14,4,16,Kurz,Kurz,I-PER,PER-Sebastian-Kurz
sl-14,4,17,ter,,O,
sl-14,4,18,podkancler,,O,
sl-14,4,19,Heinz-Christian,Heinz-Christian,B-PER,PER-Heinz-Christian-Strache
sl-14,4,20,Strache,Strache,I-PER,PER-Heinz-Christian-Strache
sl-14,4,21,.,,O,
sl-14,5,1,Po,,O,
sl-14,5,2,poročanju,,O,
sl-14,5,3,tujih,,O,
sl-14,5,4,tiskovnih,,O,
sl-14,5,5,agencij,,O,
sl-14,5,6,bo,,O,
sl-14,5,7,Putin,Putin,B-PER,PER-Vladimir-Putin
sl-14,5,8,za,,O,
sl-14,5,9,»,,O,
sl-14,5,10,poročno,,O,
sl-14,5,11,darilo,,O,
sl-14,5,12,«,,O,
sl-14,5,13,s,,O,
sl-14,5,14,seboj,,O,
sl-14,5,15,pripeljal,,O,
sl-14,5,16,ruski,,O,
sl-14,5,17,tradicionalni,,O,
sl-14,5,18,pevski,,O,
sl-14,5,19,zbor,,O,
sl-14,5,20,.,,O,
sl-14,6,1,Avstrijska,,O,
sl-14,6,2,policija,,O,
sl-14,6,3,zaradi,,O,
sl-14,6,4,prihoda,,O,
sl-14,6,5,ruskega,,O,
sl-14,6,6,predsednika,,O,
sl-14,6,7,pripravlja,,O,
sl-14,6,8,stroge,,O,
sl-14,6,9,varnostne,,O,
sl-14,6,10,ukrepe,,O,
sl-14,6,11,.,,O,
sl-14,7,1,Zaradi,,O,
sl-14,7,2,tega,,O,
sl-14,7,3,je,,O,
sl-14,7,4,pričakovati,,O,
sl-14,7,5,tudi,,O,
sl-14,7,6,težave,,O,
sl-14,7,7,in,,O,
sl-14,7,8,omejitve,,O,
sl-14,7,9,v,,O,
sl-14,7,10,prometu,,O,
sl-14,7,11,",",,O,
sl-14,7,12,tudi,,O,
sl-14,7,13,na,,O,
sl-14,7,14,letališču,,O,
sl-14,7,15,v,,O,
sl-14,7,16,Gradcu,Gradec,B-LOC,GPE-Graz
sl-14,7,17,.,,O,
sl-14,8,1,Po,,O,
sl-14,8,2,poroki,,O,
sl-14,8,3,na,,O,
sl-14,8,4,obisk,,O,
sl-14,8,5,še,,O,
sl-14,8,6,k,,O,
sl-14,8,7,Merklovi,Merkel,B-PER,PER-Angela-Merkel
sl-14,9,1,Po,,O,
sl-14,9,2,udeležbi,,O,
sl-14,9,3,na,,O,
sl-14,9,4,poroki,,O,
sl-14,9,5,avstrijske,Avstrija,B-LOC,GPE-Austria
sl-14,9,6,zunanje,,O,
sl-14,9,7,ministrice,,O,
sl-14,9,8,bo,,O,
sl-14,9,9,Putin,Putin,B-PER,PER-Vladimir-Putin
sl-14,9,10,pozno,,O,
sl-14,9,11,popoldne,,O,
sl-14,9,12,odpotoval,,O,
sl-14,9,13,še,,O,
sl-14,9,14,v,,O,
sl-14,9,15,Berlin,Berlin,B-LOC,GPE-Berlin
sl-14,9,16,k,,O,
sl-14,9,17,nemški,,O,
sl-14,9,18,kanclerki,,O,
sl-14,9,19,Merklovi,Merkel,B-PER,PER-Angela-Merkel
sl-14,9,20,.,,O,
sl-14,10,1,To,,O,
sl-14,10,2,bo,,O,
sl-14,10,3,njuno,,O,
sl-14,10,4,drugo,,O,
sl-14,10,5,srečanje,,O,
sl-14,10,6,v,,O,
sl-14,10,7,manj,,O,
sl-14,10,8,kot,,O,
sl-14,10,9,treh,,O,
sl-14,10,10,mesecih,,O,
sl-14,10,11,.,,O,
sl-14,11,1,Po,,O,
sl-14,11,2,napovedih,,O,
sl-14,11,3,bosta,,O,
sl-14,11,4,govorila,,O,
sl-14,11,5,o,,O,
sl-14,11,6,konfliktu,,O,
sl-14,11,7,v,,O,
sl-14,11,8,Siriji,Sirija,B-LOC,GPE-Syria
sl-14,11,9,in,,O,
sl-14,11,10,na,,O,
sl-14,11,11,vzhodu,vzhod,B-LOC,LOC-East-Ukraine
sl-14,11,12,Ukrajine,Ukrajine,I-LOC,LOC-East-Ukraine
sl-14,11,13,",",,O,
sl-14,11,14,pa,,O,
sl-14,11,15,tudi,,O,
sl-14,11,16,o,,O,
sl-14,11,17,sporu,,O,
sl-14,11,18,glede,,O,
sl-14,11,19,plinovoda,,O,
sl-14,11,20,Severni,,O,
sl-14,11,21,tok,,O,
sl-14,11,22,2.,,O,
sl-14,12,1,Odnosi,,O,
