docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
pl-25,0,1,Skazana,,skazać,ppas:sg:nom:f:perf:aff,ADJ,O,
pl-25,0,2,na,,na,prep:acc,ADP,O,
pl-25,0,3,śmierć,,śmierć,subst:sg:acc:f,NOUN,O,
pl-25,0,4,chrześcijanka,,chrześcijanka,subst:sg:gen:m1,NOUN,O,
pl-25,0,5,Asia,Asia,Asia,subst:sg:nom:f,PROPN,B-PER,PER-Asia-Bibi
pl-25,0,6,Bibi,Bibi,Bibi,subst:sg:nom:f,PROPN,I-PER,PER-Asia-Bibi
pl-25,0,7,opuściła,,opuścić,praet:sg:f:perf,VERB,O,
pl-25,0,8,pakistańskie,,pakistański,adj:sg:acc:n:pos,ADJ,O,
pl-25,0,9,więzienie,,więzienie,subst:sg:acc:n:ncol,NOUN,O,
pl-25,1,1,Pakistańska,,pakistański,adj:sg:nom:f:pos,ADJ,O,
pl-25,1,2,chrześcijanka,,chrześcijanka,subst:sg:nom:f,NOUN,O,
pl-25,1,3,Asia,Asia,Asia,subst:sg:nom:f,PROPN,B-PER,PER-Asia-Bibi
pl-25,1,4,Bibi,Bibi,Bibi,subst:sg:nom:f,PROPN,I-PER,PER-Asia-Bibi
pl-25,1,5,",",,",",interp,PUNCT,O,
pl-25,1,6,skazana,,skazać,ppas:sg:nom:f:pos:aff,ADJ,O,
pl-25,1,7,na,,na,prep:acc,ADP,O,
pl-25,1,8,karę,,kara,subst:sg:acc:f,NOUN,O,
pl-25,1,9,śmierci,,śmierć,subst:sg:gen:f,NOUN,O,
pl-25,1,10,za,,za,prep:acc,ADP,O,
pl-25,1,11,bluźnierstwo,,bluźnierstwo,subst:sg:acc:n:ncol,NOUN,O,
pl-25,1,12,",",,",",interp,PUNCT,O,
pl-25,1,13,ale,,ale,conj,CCONJ,O,
pl-25,1,14,uniewinniona,,uniewinnić,ppas:sg:nom:f:perf:aff,ADJ,O,
pl-25,1,15,tydzień,,tydzień,subst:sg:acc:m3,NOUN,O,
pl-25,1,16,temu,,temu,prep:acc,ADP,O,
pl-25,1,17,",",,",",interp,PUNCT,O,
pl-25,1,18,została,,zostać,praet:sg:f:perf,AUX,O,
pl-25,1,19,wypuszczona,,wypuścić,ppas:sg:nom:f:perf:aff,ADJ,O,
pl-25,1,20,po,,po,prep:loc,ADP,O,
pl-25,1,21,ośmiu,,osiem,num:pl:loc:m3:congr,NUM,O,
pl-25,1,22,latach,,rok,subst:pl:loc:m3,NOUN,O,
pl-25,1,23,z,,z,prep:gen:nwok,ADP,O,
pl-25,1,24,więzienia,,więzienie,subst:sg:gen:n:ncol,NOUN,O,
pl-25,1,25,–,,–,interp,PUNCT,O,
pl-25,1,26,poinformował,,poinformować,praet:sg:m1:perf,VERB,O,
pl-25,1,27,w,,w,prep:acc:nwok,ADP,O,
pl-25,1,28,środę,,środa,subst:sg:acc:f,NOUN,O,
pl-25,1,29,jej,,on,ppron3:sg:gen:f:ter:akc:npraep,PRON,O,
pl-25,1,30,prawnik,,prawnik,subst:sg:nom:m1,NOUN,O,
pl-25,1,31,Saif,Saif,Saif,subst:sg:nom:m1,PROPN,B-PER,PER-Saif-Ul-Malook
pl-25,1,32,ul,ul,ulica,brev:pun,X,I-PER,PER-Saif-Ul-Malook
pl-25,1,33,-,-,-,interp,PUNCT,I-PER,PER-Saif-Ul-Malook
pl-25,1,34,Mulook,Mulook,Mulook,subst:sg:nom:m1,PROPN,I-PER,PER-Saif-Ul-Malook
pl-25,1,35,.,,.,interp,PUNCT,O,
pl-25,2,1,„,,„,interp,PUNCT,O,
pl-25,2,2,Powiedziano,,powiedzieć,imps:perf,VERB,O,
pl-25,2,3,mi,,ja,ppron12:sg:dat:m1:pri:nakc,PRON,O,
pl-25,2,4,",",,",",interp,PUNCT,O,
pl-25,2,5,że,,że,comp,SCONJ,O,
pl-25,2,6,jest,,być,fin:sg:ter:imperf,VERB,O,
pl-25,2,7,w,,w,prep:loc:nwok,ADP,O,
pl-25,2,8,samolocie,,samolot,subst:sg:loc:m3,NOUN,O,
pl-25,2,9,",",,",",interp,PUNCT,O,
pl-25,2,10,ale,,ale,conj,CCONJ,O,
pl-25,2,11,nikt,,nikt,subst:sg:nom:m1,PRON,O,
pl-25,2,12,nie,,nie,part,PART,O,
pl-25,2,13,wie,,wiedzieć,fin:sg:ter:imperf,VERB,O,
pl-25,2,14,",",,",",interp,PUNCT,O,
pl-25,2,15,gdzie,,gdzie,adv,ADV,O,
pl-25,2,16,wyląduje,,wylądować,fin:sg:ter:perf,VERB,O,
pl-25,2,17,”,,”,interp,PUNCT,O,
pl-25,2,18,–,,–,interp,PUNCT,O,
pl-25,2,19,napisał,,napisać,praet:sg:m1:perf,VERB,O,
pl-25,2,20,w,,w,prep:acc:nwok,ADP,O,
pl-25,2,21,wiadomości,,wiadomość,subst:pl:loc:f,NOUN,O,
pl-25,2,22,dla,,dla,prep:gen,ADP,O,
pl-25,2,23,agencji,,agencja,subst:sg:gen:f,NOUN,O,
pl-25,2,24,AFP,AFP,AFP,subst:sg:gen:n,PROPN,B-ORG,ORG-AFP-Agence-France-Press
pl-25,2,25,.,,.,interp,PUNCT,O,
pl-25,3,1,Jak,,jak,adv:pos,ADV,O,
pl-25,3,2,poinformowały,,poinformować,praet:pl:f:perf,VERB,O,
pl-25,3,3,AFP,AFP,AFP,subst:sg:nom:n,PROPN,B-ORG,ORG-AFP-Agence-France-Press
pl-25,3,4,pakistańskie,,pakistański,adj:pl:nom:f:pos,ADJ,O,
pl-25,3,5,służby,,służba,subst:pl:nom:f,NOUN,O,
pl-25,3,6,więzienne,,więzienny,adj:pl:nom:f:pos,ADJ,O,
pl-25,3,7,",",,",",interp,PUNCT,O,
pl-25,3,8,nakaz,,nakaz,subst:sg:nom:m3,NOUN,O,
pl-25,3,9,zwolnienia,,zwolnienie,subst:sg:gen:n:ncol,NOUN,O,
pl-25,3,10,Bibi,Bibi,Bibi,subst:sg:gen:f,PROPN,B-PER,PER-Asia-Bibi
pl-25,3,11,przyszedł,,przyjść,praet:sg:m3:perf,VERB,O,
pl-25,3,12,w,,w,prep:acc:nwok,ADP,O,
pl-25,3,13,środę,,środa,subst:sg:acc:f,NOUN,O,
pl-25,3,14,do,,do,prep:gen,ADP,O,
pl-25,3,15,więzienia,więzienie,więzienie,subst:sg:gen:n:ncol,NOUN,B-LOC,LOC-Multan-prison
