docId,sentenceId,tokenId,text,lemma,ner,clID
ru-1059,0,1,311 26,,O,
ru-1059,0,2,:,,O,
ru-1059,0,3,28,,O,
ru-1059,0,4,Британский,,O,
ru-1059,0,5,кризис,,O,
ru-1059,0,6,.,,O,
ru-1059,1,1,Время,,O,
ru-1059,1,2,покажет,,O,
ru-1059,1,3,.,,O,
ru-1059,2,1,Выпуск,,O,
ru-1059,2,2,от,,O,
ru-1059,2,3,09.07.2018,,O,
ru-1059,3,1,В,,O,
ru-1059,3,2,Лондоне,Лондон,B-LOC,GPE-London
ru-1059,3,3,проходит,,O,
ru-1059,3,4,собрание,,O,
ru-1059,3,5,чрезвычайного,,O,
ru-1059,3,6,комитета,,O,
ru-1059,3,7,правительства,правительство,B-ORG,ORG-the-UK-Government
ru-1059,3,8,Великобритании,Великобритании,I-ORG,ORG-the-UK-Government
ru-1059,3,9,в,,O,
ru-1059,3,10,связи,,O,
ru-1059,3,11,со,,O,
ru-1059,3,12,смертью,,O,
ru-1059,3,13,женщины,,O,
ru-1059,3,14,",",,O,
ru-1059,3,15,пострадавшей,,O,
ru-1059,3,16,от,,O,
ru-1059,3,17,отравления,,O,
ru-1059,3,18,нервно-паралитическим,,O,
ru-1059,3,19,веществом,,O,
ru-1059,3,20,в,,O,
ru-1059,3,21,Эймсбери,Эймсбери,B-LOC,LOC-Amesbury
ru-1059,3,22,.,,O,
ru-1059,4,1,Это,,O,
ru-1059,4,2,происходит,,O,
ru-1059,4,3,на,,O,
ru-1059,4,4,фоне,,O,
ru-1059,4,5,политических,,O,
ru-1059,4,6,конфликтов,,O,
ru-1059,4,7,внутри,,O,
ru-1059,4,8,страны,,O,
ru-1059,4,9,.,,O,
ru-1059,5,1,Накануне,,O,
ru-1059,5,2,ушел,,O,
ru-1059,5,3,в,,O,
ru-1059,5,4,отставку,,O,
ru-1059,5,5,министр,,O,
ru-1059,5,6,по,,O,
ru-1059,5,7,вопросам,,O,
ru-1059,5,8,Brexit,Brexit,B-EVT,EVT-Brexit
ru-1059,5,9,Дэвид,Дэвид,B-PER,PER-David-Davis
ru-1059,5,10,Дэвис,Дэвис,I-PER,PER-David-Davis
ru-1059,5,11,",",,O,
ru-1059,5,12,что,,O,
ru-1059,5,13,может,,O,
ru-1059,5,14,привести,,O,
ru-1059,5,15,к,,O,
ru-1059,5,16,расколу,,O,
ru-1059,5,17,в,,O,
ru-1059,5,18,консервативной,консервативная,B-ORG,ORG-Conservative-and-Unionist-Party-UK
ru-1059,5,19,партии,партия,I-ORG,ORG-Conservative-and-Unionist-Party-UK
ru-1059,5,20,Великобритании,Великобритании,I-ORG,ORG-Conservative-and-Unionist-Party-UK
ru-1059,5,21,и,,O,
ru-1059,5,22,вынесению,,O,
ru-1059,5,23,ее,,O,
ru-1059,5,24,лидеру,,O,
ru-1059,5,25,Терезе,Тереза,B-PER,PER-Theresa-May
ru-1059,5,26,Мэй,Мэй,I-PER,PER-Theresa-May
ru-1059,5,27,вотума,,O,
ru-1059,5,28,недоверия,,O,
ru-1059,5,29,.,,O,
ru-1059,6,1,А,,O,
ru-1059,6,2,сегодня,,O,
ru-1059,6,3,стало,,O,
ru-1059,6,4,известно,,O,
ru-1059,6,5,об,,O,
ru-1059,6,6,отставке,,O,
ru-1059,6,7,министра,,O,
ru-1059,6,8,иностранных,,O,
ru-1059,6,9,дел,,O,
ru-1059,6,10,Бориса,Борис,B-PER,PER-Boris-Johnson
ru-1059,6,11,Джонсона,Джонсон,I-PER,PER-Boris-Johnson
ru-1059,6,12,.,,O,
