docId,sentenceId,tokenId,text,lemma,ner,clID
sl-129,0,1,Natanko,,O,
sl-129,0,2,848,,O,
sl-129,0,3,dni,,O,
sl-129,0,4,je,,O,
sl-129,0,5,minilo,,O,
sl-129,0,6,od,,O,
sl-129,0,7,referenduma,,O,
sl-129,0,8,",",,O,
sl-129,0,9,brexit,brexit,B-EVT,EVT-Brexit
sl-129,0,10,pa,,O,
sl-129,0,11,v,,O,
sl-129,0,12,mrtvem,,O,
sl-129,0,13,teku,,O,
sl-129,1,1,V,,O,
sl-129,1,2,Londonu,London,B-LOC,GPE-London
sl-129,1,3,pozivajo,,O,
sl-129,1,4,vse,,O,
sl-129,1,5,nasprotnike,,O,
sl-129,1,6,brexita,brexit,B-EVT,EVT-Brexit
sl-129,1,7,",",,O,
sl-129,1,8,naj,,O,
sl-129,1,9,se,,O,
sl-129,1,10,zberejo,,O,
sl-129,1,11,na,,O,
sl-129,1,12,sobotnih,,O,
sl-129,1,13,protestih,,O,
sl-129,1,14,.,,O,
sl-129,2,1,Je,,O,
sl-129,2,2,bilo,,O,
sl-129,2,3,vredno,,O,
sl-129,2,4,",",,O,
sl-129,2,5,se,,O,
sl-129,2,6,sprašujejo,,O,
sl-129,2,7,.,,O,
sl-129,3,1,Tudi,,O,
sl-129,3,2,po,,O,
sl-129,3,3,številnih,,O,
sl-129,3,4,razpravah,,O,
sl-129,3,5,na,,O,
sl-129,3,6,dvodnevnem,,O,
sl-129,3,7,vrhu,,O,
sl-129,3,8,EU,EU,B-ORG,ORG-European-Union
sl-129,3,9,ni,,O,
sl-129,3,10,sporazum,,O,
sl-129,3,11,o,,O,
sl-129,3,12,odhodu,,O,
sl-129,3,13,Velike,Velika,B-LOC,GPE-Great-Britain
sl-129,3,14,Britanije,Britanija,I-LOC,GPE-Great-Britain
sl-129,3,15,nič,,O,
sl-129,3,16,bližje,,O,
sl-129,3,17,.,,O,
sl-129,4,1,Natanko,,O,
sl-129,4,2,848,,O,
sl-129,4,3,dni,,O,
sl-129,4,4,je,,O,
sl-129,4,5,minilo,,O,
sl-129,4,6,od,,O,
sl-129,4,7,britanskega,,O,
sl-129,4,8,referenduma,,O,
sl-129,4,9,o,,O,
sl-129,4,10,odhodu,,O,
sl-129,4,11,Otoka,Otok,B-LOC,GPE-Great-Britain
sl-129,4,12,iz,,O,
sl-129,4,13,Evropske,Evropska,B-ORG,ORG-European-Union
sl-129,4,14,unije,unija,I-ORG,ORG-European-Union
sl-129,4,15,in,,O,
sl-129,4,16,le,,O,
sl-129,4,17,še,,O,
sl-129,4,18,162,,O,
sl-129,4,19,jih,,O,
sl-129,4,20,ostaja,,O,
sl-129,4,21,do,,O,
sl-129,4,22,29.,,O,
sl-129,4,23,marca,,O,
sl-129,4,24,2019,,O,
sl-129,4,25,",",,O,
sl-129,4,26,dneva,,O,
sl-129,4,27,D,,O,
sl-129,4,28,za,,O,
sl-129,4,29,tako,,O,
sl-129,4,30,imenovani,,O,
sl-129,4,31,brexit,brexit,B-EVT,EVT-Brexit
sl-129,4,32,.,,O,
sl-129,5,1,Da,,O,
sl-129,5,2,bo,,O,
sl-129,5,3,tega,,O,
sl-129,5,4,dne,,O,
sl-129,5,5,Velika,Velika,B-LOC,GPE-Great-Britain
sl-129,5,6,Britanija,Britanija,I-LOC,GPE-Great-Britain
