docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
cs-60,0,1,SVĚT,,svět,NNIS1-----A----,NOUN,O,
cs-60,0,2,:,,:,Z:-------------,PUNCT,O,
cs-60,0,3,Stateční,,stateční,AAMP1----1A----,ADJ,O,
cs-60,0,4,a,,a,J^-------------,CCONJ,O,
cs-60,0,5,zbabělí,,zbabělý,AAMP1----1A----,ADJ,O,
cs-60,1,1,Kdo,,kdo,PKM-1----------,PRON,O,
cs-60,1,2,je,,být,VB-S---3P-AA---,AUX,O,
cs-60,1,3,Asia,Asia,Asia,AAXXX----1A----,ADJ,B-PER,PER-Asia-Bibi
cs-60,1,4,Bibi,Bibi,Bibi,NNFSX-----A----,PROPN,I-PER,PER-Asia-Bibi
cs-60,1,5,?,,?,Z:-------------,PUNCT,O,
cs-60,2,1,Pákistánská,,pákistánský,AAFS1----1A----,ADJ,O,
cs-60,2,2,křesťanka,,křesťanka,NNFS1-----A----,NOUN,O,
cs-60,2,3,křivě,,křivě,Dg-------1A----,ADV,O,
cs-60,2,4,obviněná,,obviněný,AAFS1----1A----,ADJ,O,
cs-60,2,5,z,,z,RR--2----------,ADP,O,
cs-60,2,6,rouhání,,rouhání,NNNS2-----A----,NOUN,O,
cs-60,2,7,",",,",",Z:-------------,PUNCT,O,
cs-60,2,8,za,,za,RR--4----------,ADP,O,
cs-60,2,9,které,,který,P4FS4----------,DET,O,
cs-60,2,10,byla,,být,VpQW---XR-AA---,AUX,O,
cs-60,2,11,odsouzena,,odsouzený,VsQW---XX-AP---,ADJ,O,
cs-60,2,12,k,,k,RR--3----------,ADP,O,
cs-60,2,13,smrti,,smrt,NNFS3-----A----,NOUN,O,
cs-60,2,14,pověšením,,pověšení,NNNP3-----A----,NOUN,O,
cs-60,2,15,",",,",",Z:-------------,PUNCT,O,
cs-60,2,16,ale,,ale,J^-------------,CCONJ,O,
cs-60,2,17,po,,po,RR--6----------,ADP,O,
