docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
bg-109,0,1,Милер,Милер,милер,Npmsi,PROPN,B-PER,PER-Aleksey-Miller
bg-109,0,2,:,,:,punct,PUNCT,O,
bg-109,1,1,Газът,,газ,Ncmsf,NOUN,O,
bg-109,1,2,по,,по,R,ADP,O,
bg-109,1,3,„,,първи,Amsi,ADJ,O,
bg-109,1,4,Северен,Северен,северен,Amsi,ADJ,B-PRO,PRO-Nord-Stream-1
bg-109,1,5,поток,поток,поток,Ncmsi,NOUN,I-PRO,PRO-Nord-Stream-1
bg-109,1,6,“,,“,punct,PUNCT,O,
bg-109,1,7,2,,два,Mc-pi,NUM,O,
bg-109,1,8,може,,мога,Vpiif-r3s,VERB,O,
bg-109,1,9,да,,да,Tx,AUX,O,
bg-109,1,10,потече,,потека,Vppif-r3s,VERB,O,
bg-109,1,11,в,,в,R,ADP,O,
bg-109,1,12,началото,,начало,Ncnsd,NOUN,O,
bg-109,1,13,на,,на,R,ADP,O,
bg-109,1,14,2020,,2020,Mofsi,ADJ,O,
bg-109,1,15,г.,,година,Ncfsi,NOUN,O,
bg-109,2,1,Като,,като,Cs,SCONJ,O,
bg-109,2,2,се,,се,Ppxta,PRON,O,
bg-109,2,3,има,,има,Vnitf-r3s,VERB,O,
bg-109,2,4,предвид,,предвид,R,ADP,O,
bg-109,2,5,изпълнението,,изпълнение,Ncnsd,NOUN,O,
bg-109,2,6,на,,на,R,ADP,O,
bg-109,2,7,графика,,график,Ncmsh,NOUN,O,
bg-109,2,8,за,,за,R,ADP,O,
bg-109,2,9,строеж,,строеж,Ncmsi,NOUN,O,
bg-109,2,10,",",,",",punct,PUNCT,O,
bg-109,2,11,първите,,пръв,Mo-pd,ADJ,O,
bg-109,2,12,доставки,,доставка,Ncfpi,NOUN,O,
bg-109,2,13,по,,по,R,ADP,O,
bg-109,2,14,Северен,Северен,северен,Amsi,ADJ,B-PRO,PRO-Nord-Stream-1
bg-109,2,15,поток,поток,поток,Ncmsi,NOUN,I-PRO,PRO-Nord-Stream-1
bg-109,2,16,“,,“,punct,PUNCT,O,
bg-109,2,17,2,,два,Mc-pi,NUM,O,
bg-109,2,18,могат,,мога,Vpiif-r3p,VERB,O,
bg-109,2,19,да,,да,Tx,AUX,O,
bg-109,2,20,започнат,,започна,Vpptf-r3p,VERB,O,
bg-109,2,21,още,,още,Dq,ADV,O,
bg-109,2,22,на,,на,R,ADP,O,
bg-109,2,23,1,,първи,Momsi,ADJ,O,
bg-109,2,24,януари,,януари,Ncmsi,NOUN,O,
bg-109,2,25,2020,,2020,Mofsi,ADJ,O,
bg-109,2,26,г.,,година,Ncfsi,NOUN,O,
bg-109,2,27,",",,",",punct,PUNCT,O,
bg-109,2,28,заяви,,заявя,Vpptf-o3s,VERB,O,
bg-109,2,29,главният,,главен,Amsf,ADJ,O,
bg-109,2,30,изпълнителен,,изпълнителен,Amsi,ADJ,O,
bg-109,2,31,директор,,директор,Ncmsi,NOUN,O,
bg-109,2,32,на,,на,R,ADP,O,
bg-109,2,33,Газпром“,Газпром,газпром“,Npmsi,PROPN,B-ORG,ORG-Gazprom
bg-109,2,34,Алексей,Алексей,алексей,Npmsi,PROPN,B-PER,PER-Aleksey-Miller
bg-109,2,35,Милер,Милер,милер,Hmsi,PROPN,I-PER,PER-Aleksey-Miller
bg-109,2,36,по,,по,R,ADP,O,
bg-109,2,37,време,,време,Ncnsi,NOUN,O,
bg-109,2,38,на,,на,R,ADP,O,
bg-109,2,39,изказване,,изказване,Ncnsi,NOUN,O,
bg-109,2,40,през,,през,R,ADP,O,
bg-109,2,41,Международния,Международен,международен,Amsh,ADJ,B-EVT,EVT-SPIGF-Forum
bg-109,2,42,газов,газов,газов,Amsi,ADJ,I-EVT,EVT-SPIGF-Forum
bg-109,2,43,форум,форум,форум,Ncmsi,NOUN,I-EVT,EVT-SPIGF-Forum
bg-109,2,44,.,,.,punct,PUNCT,O,
bg-109,3,1,Според,,според,R,ADP,O,
bg-109,3,2,Милер,Милер,милер,Hmsi,PROPN,B-PER,PER-Aleksey-Miller
bg-109,3,3,строителството,,строителство,Ncnsd,NOUN,O,
bg-109,3,4,на,,на,R,ADP,O,
bg-109,3,5,новия,,нов,Amsh,ADJ,O,
bg-109,3,6,газопровод,,газопровод,Ncmsi,NOUN,O,
bg-109,3,7,е,,съм,Vxitf-r3s,AUX,O,
bg-109,3,8,в,,в,R,ADP,O,
bg-109,3,9,ход,,ход,Ncmsi,NOUN,O,
bg-109,3,10,и,,и,Cp,CCONJ,O,
bg-109,3,11,макар,,макар,R,ADP,O,
bg-109,3,12,да,,да,Tx,AUX,O,
bg-109,3,13,остават,,оставам,Vpiif-r3p,VERB,O,
bg-109,3,14,още,,още,Dq,ADV,O,
bg-109,3,15,въпроси,,въпрос,Ncmpi,NOUN,O,
bg-109,3,16,за,,за,R,ADP,O,
bg-109,3,17,решаване,,решаване,Ncnsi,NOUN,O,
bg-109,3,18,",",,",",punct,PUNCT,O,
bg-109,3,19,то,,аз,Ppe-os3n,PRON,O,
bg-109,3,20,напредъкът,,напредък,Ncmsf,NOUN,O,
bg-109,3,21,по,,по,R,ADP,O,
bg-109,3,22,работата,,работа,Ncfsd,NOUN,O,
bg-109,3,23,позволява,,позволявам-(си),Vpitf-r3s,VERB,O,
bg-109,3,24,да,,да,Tx,AUX,O,
bg-109,3,25,се,,се,Ppxta,PRON,O,
bg-109,3,26,говори,,говоря,Vpitf-r3s,VERB,O,
bg-109,3,27,за,,за,R,ADP,O,
bg-109,3,28,старт,,старт,Ncmsi,NOUN,O,
bg-109,3,29,на,,на,R,ADP,O,
bg-109,3,30,доставките,,доставка,Ncfpd,NOUN,O,
bg-109,3,31,от,,от,R,ADP,O,
bg-109,3,32,началото,,начало,Ncnsd,NOUN,O,
bg-109,3,33,на,,на,R,ADP,O,
bg-109,3,34,2020,,2020,Mofsi,ADJ,O,
bg-109,3,35,г.,,година,Ncfsi,NOUN,O,
bg-109,3,36,",",,",",punct,PUNCT,O,
bg-109,3,37,съобщава,,съобщавам,Vpitf-r3s,VERB,O,
bg-109,3,38,ТАСС,ТАСС,тасс,Npfsi,PROPN,B-ORG,ORG-TASS-Agency
bg-109,3,39,.,,.,punct,PUNCT,O,
bg-109,4,1,Полагането,,полагане,Ncnsd,NOUN,O,
bg-109,4,2,на,,на,R,ADP,O,
bg-109,4,3,тръбите,,тръба,Ncfpd,NOUN,O,
bg-109,4,4,за,,за,R,ADP,O,
bg-109,4,5,Северен,Северен,северен,Amsi,ADJ,B-PRO,PRO-Nord-Stream-2
bg-109,4,6,поток“,поток,поток,Ncmsi,NOUN,I-PRO,PRO-Nord-Stream-2
bg-109,4,7,2,2,два,Mc-pi,NUM,I-PRO,PRO-Nord-Stream-2
bg-109,4,8,започна,,започна,Vpptf-o3s,VERB,O,
bg-109,4,9,през,,през,R,ADP,O,
bg-109,4,10,юли,,юли,Ncmsi,NOUN,O,
bg-109,4,11,.,,.,punct,PUNCT,O,
bg-109,5,1,По-рано,,рано,Dt,ADV,O,
bg-109,5,2,Манфред,Манфред,манфред,Npmsi,PROPN,B-PER,PER-Manfred-Leitner
bg-109,5,3,Лайтнер,Лайтнер,лайтнер,Hmsi,PROPN,I-PER,PER-Manfred-Leitner
bg-109,5,4,",",,",",punct,PUNCT,O,
bg-109,5,5,член,,член,Ncmsi,NOUN,O,
bg-109,5,6,на,,на,R,ADP,O,
bg-109,5,7,съвета,,съвет,Ncmsh,NOUN,O,
