docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
bg-3066,0,1,Пакистан,Пакистан,пакистан,Npmsi,PROPN,B-LOC,GPE-Pakistan
bg-3066,0,2,:,,:,punct,PUNCT,O,
bg-3066,0,3,Асия,Асия,асия,Npfsi,PROPN,B-PER,PER-Asia-Bibi
bg-3066,0,4,Биби,Биби,биби,Npfsi,PROPN,I-PER,PER-Asia-Bibi
bg-3066,0,5,символ,,символ,Ncmsi,NOUN,O,
bg-3066,0,6,на,,на,R,ADP,O,
bg-3066,0,7,преследваните,,преследвам,Vpitcv--p-d,ADJ,O,
bg-3066,0,8,християни,,християнин,Ncmpi,NOUN,O,
bg-3066,1,1,Разпространяващия,,разпространявам-(се),Vpitcar-smh,ADJ,O,
bg-3066,1,2,се,,се,Ppxta,PRON,O,
bg-3066,1,3,екстремизъм,,екстремизъм,Ncmsi,NOUN,O,
bg-3066,1,4,",",,",",punct,PUNCT,O,
bg-3066,1,5,нетолерантността,,нетолерантност,Ncfsd,NOUN,O,
bg-3066,1,6,и,,и,Cp,CCONJ,O,
bg-3066,1,7,насилието,,насилие,Ncnsd,NOUN,O,
bg-3066,1,8,очертават,,очертавам-(се),Vpitf-r3p,VERB,O,
bg-3066,1,9,мрачната,,мрачен,Afsd,ADJ,O,
bg-3066,1,10,картина,,картина,Ncfsi,NOUN,O,
bg-3066,1,11,на,,на,R,ADP,O,
bg-3066,1,12,незачитането,,незачитане,Ncnsd,NOUN,O,
bg-3066,1,13,на,,на,R,ADP,O,
bg-3066,1,14,човешките,,човешки,A-pd,ADJ,O,
bg-3066,1,15,права,,право,Ncnpi,NOUN,O,
bg-3066,1,16,в,,в,R,ADP,O,
bg-3066,1,17,Пакистан,Пакистан,пакистан,Npmsi,PROPN,B-LOC,GPE-Pakistan
bg-3066,1,18,.,,.,punct,PUNCT,O,
bg-3066,2,1,Това,,този,Pde-os-n,PRON,O,
bg-3066,2,2,посочва,,посочвам,Vpitf-r3s,VERB,O,
bg-3066,2,3,международната,,международен,Afsd,ADJ,O,
bg-3066,2,4,организация,,организация,Ncfsi,NOUN,O,
bg-3066,2,5,“,,“,punct,PUNCT,O,
bg-3066,2,6,Human,Human,human,Npmsi,PROPN,B-ORG,ORG-Human-Rights-Watch
bg-3066,2,7,Rights,Rights,rights,Npmsi,PROPN,I-ORG,ORG-Human-Rights-Watch
bg-3066,2,8,Watch,Watch,watch,Npnsi,PROPN,I-ORG,ORG-Human-Rights-Watch
bg-3066,2,9,”,,”,punct,PUNCT,O,
bg-3066,2,10,(,,(,punct,PUNCT,O,
bg-3066,2,11,Hrw,HRW,hrw,Npfsi,PROPN,B-ORG,ORG-Human-Rights-Watch
bg-3066,2,12,),,),punct,PUNCT,O,
bg-3066,2,13,в,,в,R,ADP,O,
bg-3066,2,14,доклада,,доклад,Ncmsh,NOUN,O,
bg-3066,2,15,си,,свой,Psxto,PRON,O,
bg-3066,2,16,за,,за,R,ADP,O,
bg-3066,2,17,2011,,2011,Mofsi,ADJ,O,
bg-3066,2,18,",",,",",punct,PUNCT,O,
bg-3066,2,19,представен,,представя-(се),Vpptcv--smi,ADJ,O,
bg-3066,2,20,тези,,този,Pde-op,DET,O,
bg-3066,2,21,дни,,ден,Ncmt,NOUN,O,
bg-3066,2,22,в,,в,R,ADP,O,
bg-3066,2,23,Исламабад,Исламабад,исламабад,Npmsi,PROPN,B-LOC,GPE-Islamabad
bg-3066,2,24,.,,.,punct,PUNCT,O,
bg-3066,3,1,В,,в,R,ADP,O,
bg-3066,3,2,тази,,този,Pde-os-f,DET,O,
bg-3066,3,3,картина,,картина,Ncfsi,NOUN,O,
bg-3066,3,4,",",,",",punct,PUNCT,O,
bg-3066,3,5,събитията,,събитие,Ncnpd,NOUN,O,
bg-3066,3,6,свързани,,свържа,Vpptcv--p-i,ADJ,O,
bg-3066,3,7,с,,с,R,ADP,O,
bg-3066,3,8,Асия,Асия,асия,Npfsi,PROPN,B-PER,PER-Asia-Bibi
bg-3066,3,9,Биби,Биби,биби,Npfsi,PROPN,I-PER,PER-Asia-Bibi
bg-3066,3,10,са,,съм,Vxitf-r3p,AUX,O,
bg-3066,3,11,емблематични,,емблематичен,A-pi,ADJ,O,
