model_name,fine_tuned,train_bundle,epochs,test_dataset,precision_score,recall_score,f1_score
cro-slo-eng-bert,True,ssj500k-bsnlp2017-iterative,5,ssj500k,0.6280587275693311,0.8603351955307262,0.726072607260726
cro-slo-eng-bert,True,ssj500k-bsnlp2017-iterative,5,bsnlp-2017,0.913894324853229,0.9453441295546559,0.9293532338308458
cro-slo-eng-bert,True,ssj500k-bsnlp2017-iterative,5,bsnlp-2021,0.8361193051458539,0.7286489574407312,0.7786935286935286
cro-slo-eng-bert,True,ssj500k-bsnlp2017-iterative,5,bsnlp-all,0.8472768107804605,0.7554443053817271,0.798729654624851
cro-slo-eng-bert,True,ssj500k-bsnlp-2017-combined,5,ssj500k,0.8347193347193347,0.8972067039106145,0.8648357565966612
cro-slo-eng-bert,True,ssj500k-bsnlp-2017-combined,5,bsnlp-2017,0.9171974522292994,0.8744939271255061,0.8953367875647669
cro-slo-eng-bert,True,ssj500k-bsnlp-2017-combined,5,bsnlp-2021,0.8542307692307692,0.6343901742359326,0.7280773643664973
cro-slo-eng-bert,True,ssj500k-bsnlp-2017-combined,5,bsnlp-all,0.8638879843699121,0.6640801001251564,0.7509198981035947
cro-slo-eng-bert,True,ssj500k-bsnlp-2021-iterative,5,ssj500k,0.5968253968253968,0.8402234636871508,0.6979118329466357
cro-slo-eng-bert,True,ssj500k-bsnlp-2021-iterative,5,bsnlp-2017,0.783203125,0.8117408906882592,0.7972166998011928
cro-slo-eng-bert,True,ssj500k-bsnlp-2021-iterative,5,bsnlp-2021,0.9309182813816343,0.9468723221936589,0.9388275276125743
cro-slo-eng-bert,True,ssj500k-bsnlp-2021-iterative,5,bsnlp-all,0.9123496194451265,0.930162703379224,0.9211700545364402
cro-slo-eng-bert,True,ssj500k-bsnlp-2021-combined,5,ssj500k,0.7699203187250996,0.8636871508379889,0.8141126908899421
cro-slo-eng-bert,True,ssj500k-bsnlp-2021-combined,5,bsnlp-2017,0.7827102803738317,0.6781376518218624,0.7266811279826464
cro-slo-eng-bert,True,ssj500k-bsnlp-2021-combined,5,bsnlp-2021,0.9381892048752176,0.9234504427306484,0.9307614797754425
cro-slo-eng-bert,True,ssj500k-bsnlp-2021-combined,5,bsnlp-all,0.9210118740320082,0.8931163954943679,0.9068496632354811
cro-slo-eng-bert,True,ssj500k-bsnlp-all-iterative,5,ssj500k,0.610223642172524,0.8536312849162011,0.711690731252911
cro-slo-eng-bert,True,ssj500k-bsnlp-all-iterative,5,bsnlp-2017,0.9081632653061225,0.9008097165991903,0.9044715447154471
cro-slo-eng-bert,True,ssj500k-bsnlp-all-iterative,5,bsnlp-2021,0.9292134831460674,0.9448728934590117,0.9369777651890667
cro-slo-eng-bert,True,ssj500k-bsnlp-all-iterative,5,bsnlp-all,0.9266666666666666,0.939424280350438,0.9330018645121194
cro-slo-eng-bert,True,ssj500k-bsnlp-all-combined,5,ssj500k,0.7699203187250996,0.8636871508379889,0.8141126908899421
cro-slo-eng-bert,True,ssj500k-bsnlp-all-combined,5,bsnlp-2017,0.8845360824742268,0.868421052631579,0.8764044943820224
cro-slo-eng-bert,True,ssj500k-bsnlp-all-combined,5,bsnlp-2021,0.93905977945444,0.9243073407597829,0.931625161940406
cro-slo-eng-bert,True,ssj500k-bsnlp-all-combined,5,bsnlp-all,0.932332739760875,0.9173967459324155,0.9248044410799899
cro-slo-eng-bert,True,ssj500k,5,ssj500k,0.8303850156087409,0.8916201117318435,0.8599137931034482
cro-slo-eng-bert,True,ssj500k,5,bsnlp-2017,0.8212121212121212,0.548582995951417,0.6577669902912621
cro-slo-eng-bert,True,ssj500k,5,bsnlp-2021,0.8523769808173478,0.5838331905169951,0.6929988133581964
cro-slo-eng-bert,True,ssj500k,5,bsnlp-all,0.8486070381231672,0.5794743429286608,0.688680648520006
cro-slo-eng-bert,True,bsnlp-2017,5,ssj500k,0.5383936451897617,0.6815642458100558,0.601577909270217
cro-slo-eng-bert,True,bsnlp-2017,5,bsnlp-2017,0.68762278978389,0.708502024291498,0.6979062811565305
cro-slo-eng-bert,True,bsnlp-2017,5,bsnlp-2021,0.6718286655683691,0.5824050271351042,0.6239290085679313
cro-slo-eng-bert,True,bsnlp-2017,5,bsnlp-all,0.6740970654627539,0.5979974968710888,0.6337710571693859
cro-slo-eng-bert,True,bsnlp-2021,5,ssj500k,0.5735294117647058,0.8279329608938547,0.6776406035665296
cro-slo-eng-bert,True,bsnlp-2021,5,bsnlp-2017,0.7609108159392789,0.8117408906882592,0.7855044074436827
cro-slo-eng-bert,True,bsnlp-2021,5,bsnlp-2021,0.9209574172001114,0.9451585261353899,0.9329010431350436
cro-slo-eng-bert,True,bsnlp-2021,5,bsnlp-all,0.9004854368932039,0.9286608260325406,0.9143561306223045
cro-slo-eng-bert,True,bsnlp-all,5,ssj500k,0.5885093167701864,0.846927374301676,0.6944571690334402
cro-slo-eng-bert,True,bsnlp-all,5,bsnlp-2017,0.8919449901768173,0.9190283400809717,0.9052841475573281
cro-slo-eng-bert,True,bsnlp-all,5,bsnlp-2021,0.9219185722253207,0.9443016281062554,0.932975871313673
cro-slo-eng-bert,True,bsnlp-all,5,bsnlp-all,0.9181929181929182,0.9411764705882353,0.9295426452410382
cro-slo-eng-bert,False,ssj500k-bsnlp2017-iterative,5,ssj500k,0.6353909465020576,0.8625698324022346,0.7317535545023697
cro-slo-eng-bert,False,ssj500k-bsnlp2017-iterative,5,bsnlp-2017,0.8980769230769231,0.9453441295546559,0.9211045364891519
cro-slo-eng-bert,False,ssj500k-bsnlp2017-iterative,5,bsnlp-2021,0.8401706596652445,0.7312196515281348,0.7819181429444105
cro-slo-eng-bert,False,ssj500k-bsnlp2017-iterative,5,bsnlp-all,0.8486122792262405,0.7576971214017522,0.8005818566516795
cro-slo-eng-bert,False,ssj500k-bsnlp-2017-combined,5,ssj500k,0.8347193347193347,0.8972067039106145,0.8648357565966612
cro-slo-eng-bert,False,ssj500k-bsnlp-2017-combined,5,bsnlp-2017,0.9171974522292994,0.8744939271255061,0.8953367875647669
cro-slo-eng-bert,False,ssj500k-bsnlp-2017-combined,5,bsnlp-2021,0.8542307692307692,0.6343901742359326,0.7280773643664973
cro-slo-eng-bert,False,ssj500k-bsnlp-2017-combined,5,bsnlp-all,0.8638879843699121,0.6640801001251564,0.7509198981035947
cro-slo-eng-bert,False,ssj500k-bsnlp-2021-iterative,5,ssj500k,0.5968253968253968,0.8402234636871508,0.6979118329466357
cro-slo-eng-bert,False,ssj500k-bsnlp-2021-iterative,5,bsnlp-2017,0.783203125,0.8117408906882592,0.7972166998011928
cro-slo-eng-bert,False,ssj500k-bsnlp-2021-iterative,5,bsnlp-2021,0.9309182813816343,0.9468723221936589,0.9388275276125743
cro-slo-eng-bert,False,ssj500k-bsnlp-2021-iterative,5,bsnlp-all,0.9123496194451265,0.930162703379224,0.9211700545364402
cro-slo-eng-bert,False,ssj500k-bsnlp-2021-combined,5,ssj500k,0.7699203187250996,0.8636871508379889,0.8141126908899421
cro-slo-eng-bert,False,ssj500k-bsnlp-2021-combined,5,bsnlp-2017,0.7827102803738317,0.6781376518218624,0.7266811279826464
cro-slo-eng-bert,False,ssj500k-bsnlp-2021-combined,5,bsnlp-2021,0.9381892048752176,0.9234504427306484,0.9307614797754425
cro-slo-eng-bert,False,ssj500k-bsnlp-2021-combined,5,bsnlp-all,0.9210118740320082,0.8931163954943679,0.9068496632354811
cro-slo-eng-bert,False,ssj500k-bsnlp-all-iterative,5,ssj500k,0.610223642172524,0.8536312849162011,0.711690731252911
cro-slo-eng-bert,False,ssj500k-bsnlp-all-iterative,5,bsnlp-2017,0.9081632653061225,0.9008097165991903,0.9044715447154471
cro-slo-eng-bert,False,ssj500k-bsnlp-all-iterative,5,bsnlp-2021,0.9292134831460674,0.9448728934590117,0.9369777651890667
cro-slo-eng-bert,False,ssj500k-bsnlp-all-iterative,5,bsnlp-all,0.9266666666666666,0.939424280350438,0.9330018645121194
cro-slo-eng-bert,False,ssj500k-bsnlp-all-combined,5,ssj500k,0.7699203187250996,0.8636871508379889,0.8141126908899421
cro-slo-eng-bert,False,ssj500k-bsnlp-all-combined,5,bsnlp-2017,0.8845360824742268,0.868421052631579,0.8764044943820224
cro-slo-eng-bert,False,ssj500k-bsnlp-all-combined,5,bsnlp-2021,0.93905977945444,0.9243073407597829,0.931625161940406
cro-slo-eng-bert,False,ssj500k-bsnlp-all-combined,5,bsnlp-all,0.932332739760875,0.9173967459324155,0.9248044410799899
cro-slo-eng-bert,False,ssj500k,5,ssj500k,0.8303850156087409,0.8916201117318435,0.8599137931034482
cro-slo-eng-bert,False,ssj500k,5,bsnlp-2017,0.8212121212121212,0.548582995951417,0.6577669902912621
cro-slo-eng-bert,False,ssj500k,5,bsnlp-2021,0.8523769808173478,0.5838331905169951,0.6929988133581964
cro-slo-eng-bert,False,ssj500k,5,bsnlp-all,0.8486070381231672,0.5794743429286608,0.688680648520006
cro-slo-eng-bert,False,bsnlp-2017,5,ssj500k,0.5383936451897617,0.6815642458100558,0.601577909270217
cro-slo-eng-bert,False,bsnlp-2017,5,bsnlp-2017,0.68762278978389,0.708502024291498,0.6979062811565305
cro-slo-eng-bert,False,bsnlp-2017,5,bsnlp-2021,0.6718286655683691,0.5824050271351042,0.6239290085679313
cro-slo-eng-bert,False,bsnlp-2017,5,bsnlp-all,0.6740970654627539,0.5979974968710888,0.6337710571693859
cro-slo-eng-bert,False,bsnlp-2021,5,ssj500k,0.5735294117647058,0.8279329608938547,0.6776406035665296
cro-slo-eng-bert,False,bsnlp-2021,5,bsnlp-2017,0.7609108159392789,0.8117408906882592,0.7855044074436827
cro-slo-eng-bert,False,bsnlp-2021,5,bsnlp-2021,0.9209574172001114,0.9451585261353899,0.9329010431350436
cro-slo-eng-bert,False,bsnlp-2021,5,bsnlp-all,0.9004854368932039,0.9286608260325406,0.9143561306223045
cro-slo-eng-bert,False,bsnlp-all,5,ssj500k,0.5885093167701864,0.846927374301676,0.6944571690334402
cro-slo-eng-bert,False,bsnlp-all,5,bsnlp-2017,0.8919449901768173,0.9190283400809717,0.9052841475573281
cro-slo-eng-bert,False,bsnlp-all,5,bsnlp-2021,0.9219185722253207,0.9443016281062554,0.932975871313673
cro-slo-eng-bert,False,bsnlp-all,5,bsnlp-all,0.9181929181929182,0.9411764705882353,0.9295426452410382
bert-base-multilingual-cased,True,ssj500k-bsnlp2017-iterative,5,ssj500k,0.6294765840220385,0.8182632050134289,0.7115609186453873
bert-base-multilingual-cased,True,ssj500k-bsnlp2017-iterative,5,bsnlp-2017,0.8852713178294573,0.8949843260188087,0.8901013250194855
bert-base-multilingual-cased,True,ssj500k-bsnlp2017-iterative,5,bsnlp-2021,0.7884717080909571,0.6809773920986527,0.7307927950006127
bert-base-multilingual-cased,True,ssj500k-bsnlp2017-iterative,5,bsnlp-all,0.8025751072961373,0.7081921467012159,0.7524354087251164
bert-base-multilingual-cased,True,ssj500k-bsnlp-2017-combined,5,ssj500k,0.8200692041522492,0.8487018800358102,0.8341399032116147
bert-base-multilingual-cased,True,ssj500k-bsnlp-2017-combined,5,bsnlp-2017,0.9271186440677966,0.8573667711598746,0.8908794788273616
bert-base-multilingual-cased,True,ssj500k-bsnlp-2017-combined,5,bsnlp-2021,0.8394393118827652,0.6017355560630281,0.7009843043362597
bert-base-multilingual-cased,True,ssj500k-bsnlp-2017-combined,5,bsnlp-all,0.8533118798605525,0.6342435718556907,0.7276469243082554
bert-base-multilingual-cased,True,ssj500k-bsnlp-2021-iterative,5,ssj500k,0.5842408712363869,0.8164726947179947,0.6811053024645257
bert-base-multilingual-cased,True,ssj500k-bsnlp-2021-iterative,5,bsnlp-2017,0.7188449848024316,0.7413793103448276,0.7299382716049383
