docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
bg-3055,0,1,Франция,Франция,франция,Npfsi,PROPN,B-LOC,GPE-France
bg-3055,0,2,е,,съм,Vxitf-r3s,AUX,O,
bg-3055,0,3,готова,,готов,Afsi,ADJ,O,
bg-3055,0,4,да,,да,Tx,AUX,O,
bg-3055,0,5,приеме,,приема,Vpptf-r3s,VERB,O,
bg-3055,0,6,пакистанката,пакистанка,пакистанка,Ncfsd,NOUN,B-PER,GPE-Pakistan
bg-3055,0,7,Асия,Асия,асия,Npfsi,PROPN,B-PER,PER-Asia-Bibi
bg-3055,0,8,Биби,Биби,биби,Hfsi,PROPN,I-PER,PER-Asia-Bibi
bg-3055,1,1,Франция,Франция,франция,Npfsi,PROPN,B-LOC,GPE-France
bg-3055,1,2,е,,съм,Vxitf-r3s,AUX,O,
bg-3055,1,3,готова,,готов,Afsi,ADJ,O,
bg-3055,1,4,да,,да,Tx,AUX,O,
bg-3055,1,5,приеме,,приема,Vpptf-r3s,VERB,O,
bg-3055,1,6,пакистанката,пакистанка,пакистанка,Ncfsd,NOUN,B-PER,GPE-Pakistan
bg-3055,1,7,Асия,Асия,асия,Npfsi,PROPN,B-PER,PER-Asia-Bibi
bg-3055,1,8,Биби,Биби,биби,Hfsi,PROPN,I-PER,PER-Asia-Bibi
bg-3055,1,9,",",,",",punct,PUNCT,O,
bg-3055,1,10,оправдана,,оправдая-(се),Vpptcv--sfi,ADJ,O,
bg-3055,1,11,от,,от,R,ADP,O,
bg-3055,1,12,Върховния,,върховен,Amsh,ADJ,O,
bg-3055,1,13,съд,,съд,Ncmsi,NOUN,O,
bg-3055,1,14,в,,в,R,ADP,O,
bg-3055,1,15,страната,,страна,Ncfsd,NOUN,O,
bg-3055,1,16,си,,свой,Psxto,PRON,O,
bg-3055,1,17,",",,",",punct,PUNCT,O,
bg-3055,1,18,след,,след,R,ADP,O,
bg-3055,1,19,като,,като,R,ADP,O,
bg-3055,1,20,беше,,съм,Vxitf-t3s,AUX,O,
bg-3055,1,21,осъдена,,осъдя,Vpptcv--sfi,VERB,O,
bg-3055,1,22,на,,на,R,ADP,O,
bg-3055,1,23,смърт,,смърт,Ncfsi,NOUN,O,
bg-3055,1,24,за,,за,R,ADP,O,
bg-3055,1,25,богохулство,,богохулство,Ncnsi,NOUN,O,
bg-3055,1,26,",",,",",punct,PUNCT,O,
bg-3055,1,27,ако,,ако,Cs,SCONJ,O,
bg-3055,1,28,тя,,аз,Ppe-os3f,PRON,O,
bg-3055,1,29,поиска,,поискам,Vpptf-r3s,VERB,O,
bg-3055,1,30,това,,този,Pde-os-n,PRON,O,
bg-3055,1,31,",",,",",punct,PUNCT,O,
bg-3055,1,32,заяви,,заявя,Vpptf-o3s,VERB,O,
bg-3055,1,33,френското,,френски,Ansd,ADJ,O,
bg-3055,1,34,външно,,външен,Ansi,ADJ,O,
bg-3055,1,35,министерство,,министерство,Ncnsi,NOUN,O,
bg-3055,1,36,",",,",",punct,PUNCT,O,
bg-3055,1,37,цитирано,,цитирам,Vpptcv--sni,ADJ,O,
bg-3055,1,38,от,,от,R,ADP,O,
bg-3055,1,39,Франс,Франс,франс,Npmsi,PROPN,B-ORG,ORG-AFP-Agence-France-Press
bg-3055,1,40,прес,прес,прес,Npmsi,PROPN,I-ORG,ORG-AFP-Agence-France-Press
bg-3055,1,41,.,,.,punct,PUNCT,O,
bg-3055,2,1,Предприехме,,предприема,Vpptf-o1p,VERB,O,
bg-3055,2,2,необходимите,,необходим,A-pd,ADJ,O,
bg-3055,2,3,стъпки,,стъпка,Ncfpi,NOUN,O,
bg-3055,2,4,пред,,пред,R,ADP,O,
