docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
046,0,1,Германия,,германия,Npfsi,PROPN,O,
046,0,2,обяви,,обявя-(се),Vpptf-o3s,VERB,O,
046,0,3,България,,българия,Npfsi,PROPN,O,
046,0,4,за,,за,R,ADP,O,
046,0,5,"""",,"""",punct,PUNCT,O,
046,0,6,рисков,,рисков,Amsi,ADJ,O,
046,0,7,регион,,регион,Ncmsi,NOUN,O,
046,0,8,"""",,"""",punct,PUNCT,O,
046,0,9,заради,,заради,R,ADP,O,
046,0,10,коронавируса,,коронавирус,Ncmsh,NOUN,O,
046,1,1,За,,за,R,ADP,O,
046,1,2,пристигащи,,пристигам,Vpitcar-p-i,ADJ,O,
046,1,3,от,,от,R,ADP,O,
046,1,4,такъв,,такъв,Pda--s-m,DET,O,
046,1,5,регион,,регион,Ncmsi,NOUN,O,
046,1,6,е,,съм,Vxitf-r3s,AUX,O,
046,1,7,в,,в,R,ADP,O,
046,1,8,сила,,сила,Ncfsi,NOUN,O,
046,1,9,задължително,,задължителен,Ansi,ADJ,O,
046,1,10,изискване,,изискване,Ncnsi,NOUN,O,
046,1,11,за,,за,R,ADP,O,
046,1,12,тест,,тест,Ncmsi,NOUN,O,
046,1,13,за,,за,R,ADP,O,
046,1,14,коронавирус,,коронавирус,Ncmsi,NOUN,O,
046,2,1,Германия,,германия,Npfsi,PROPN,O,
046,2,2,обявява,,обявявам-(се),Vpitf-r3s,VERB,O,
046,2,3,цялата,,цял,Afsd,ADJ,O,
046,2,4,територия,,територия,Ncfsi,NOUN,O,
046,2,5,на,,на,R,ADP,O,
046,2,6,България,,българия,Npfsi,PROPN,O,
046,2,7,за,,за,R,ADP,O,
046,2,8,„,,пети,Amsh,ADJ,O,
046,2,9,рисков,,рисков,Amsi,ADJ,O,
046,2,10,регион,,регион,Ncmsi,NOUN,O,
046,2,11,“,,“,punct,PUNCT,O,
046,2,12,",",,",",punct,PUNCT,O,
046,2,13,което,,който,Pre-os-n,PRON,O,
046,2,14,налага,,налагам-(се),Vpitf-r3s,VERB,O,
046,2,15,ограничителни,,ограничителен,A-pi,ADJ,O,
046,2,16,мерки,,мярка,Ncfpi,NOUN,O,
046,2,17,за,,за,R,ADP,O,
046,2,18,пътуващите,,пътувам,Vpitcar-p-d,ADJ,O,
046,2,19,от,,от,R,ADP,O,
046,2,20,страната,,страна,Ncfsd,NOUN,O,
046,2,21,ни,,наш,Pszt--1,PRON,O,
046,2,22,граждани,,гражданин,Ncmpi,NOUN,O,
046,2,23,",",,",",punct,PUNCT,O,
046,2,24,като,,като,R,ADP,O,
046,2,25,част,,част,Ncfsi,NOUN,O,
