docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
233,0,1,РСМД,рсмд,рсмд,,NOUN,B-ORG,10010.0
233,0,2,:,,:,,PUNCT,O,
233,0,3,:,,:,,PUNCT,O,
233,0,4,Темы,,тема,,NOUN,O,
233,0,5,/,,/,,PUNCT,O,
233,0,6,/,,/,,PUNCT,O,
233,0,7,События,,событие,,NOUN,O,
233,0,8,/,,/,,PUNCT,O,
233,0,9,/,,/,,PUNCT,O,
233,0,10,Европейская,,европейский,,ADJ,O,
233,0,11,комиссия,,комиссия,,NOUN,O,
233,0,12,«,,«,,PUNCT,O,
233,0,13,Газпром,газпром,Газпром,,PROPN,B-ORG,10001.0
233,0,14,»,,»,,PUNCT,O,
233,0,15,",",,",",,PUNCT,O,
233,0,16,похоже,,похоже,,ADV,O,
233,0,17,",",,",",,PUNCT,O,
233,0,18,всерьез,,всерьез,,ADV,O,
233,0,19,намерен,,намерен,,ADJ,O,
233,0,20,урегулировать,,урегулировать,,VERB,O,
233,0,21,свои,,свой,,DET,O,
233,0,22,разногласия,,разногласие,,NOUN,O,
233,0,23,с,,с,,ADP,O,
233,0,24,Европейской,европейская,Европейский,,PROPN,B-ORG,1.0
233,0,25,комиссией,комиссия,комиссия,,NOUN,I-ORG,1.0
233,0,26,.,,.,,PUNCT,O,
233,1,1,После,,после,,ADP,O,
233,1,2,провала,,провал,,NOUN,O,
233,1,3,«,,«,,NOUN,O,
233,1,4,Южного,южный,Южный,,PROPN,B-MISC,10003.0
233,1,5,потока,поток,поток,,NOUN,I-MISC,10003.0
233,1,6,»,,»,,NOUN,O,
233,1,7,",",,",",,PUNCT,O,
233,1,8,многолетнего,,многолетний,,ADJ,O,
233,1,9,обструкционизма,,обструкционизм,,NOUN,O,
233,1,10,в,,в,,ADP,O,
233,1,11,отношении,,отношение,,NOUN,O,
233,1,12,«,,«,,NOUN,O,
233,1,13,Северного,северный,Северный,,PROPN,B-MISC,10004.0
233,1,14,потока,поток,поток,,NOUN,I-MISC,10004.0
233,1,15,-,-,-,,PUNCT,I-MISC,10004.0
233,1,16,1,1,1,,NUM,I-MISC,10004.0
233,1,17,»,,»,,NOUN,O,
233,1,18,и,,и,,CCONJ,O,
233,1,19,всяческих,,всяческий,,ADJ,O,
233,1,20,попыток,,попытка,,NOUN,O,
233,1,21,Брюсселя,брюссель,Брюссель,,PROPN,B-LOC,28.0
233,1,22,потеснить,,теснить,,VERB,O,
233,1,23,российского,,российский,,ADJ,O,
233,1,24,газового,,газовый,,ADJ,O,
233,1,25,гиганта,,гигант,,NOUN,O,
233,1,26,во,,в,,ADP,O,
233,1,27,избежание,,избежание,,NOUN,O,
233,1,28,чрезмерного,,чрезмерный,,ADJ,O,
233,1,29,укрепления,,укрепление,,NOUN,O,
233,1,30,«,,«,,PUNCT,O,
233,1,31,Газпрома,газпром,Газпром,,PROPN,B-ORG,10001.0
233,1,32,»,,»,,PUNCT,O,
233,1,33,",",,",",,PUNCT,O,
233,1,34,события,,событие,,NOUN,O,
233,1,35,последних,,последний,,ADJ,O,
233,1,36,месяцев,,месяц,,NOUN,O,
233,1,37,могут,,мочь,,VERB,O,
233,1,38,послужить,,служить,,VERB,O,
233,1,39,существенным,,существенный,,ADJ,O,
233,1,40,толчком,,толчок,,NOUN,O,
233,1,41,для,,для,,ADP,O,
233,1,42,развития,,развитие,,NOUN,O,
233,1,43,новых,,новый,,ADJ,O,
233,1,44,проектов,,проект,,NOUN,O,
233,1,45,российского,,российский,,ADJ,O,
233,1,46,экспортного,,экспортный,,ADJ,O,
233,1,47,монополиста,,монополист,,NOUN,O,
233,1,48,в,,в,,ADP,O,
233,1,49,Европе,европа,Европа,,PROPN,B-LOC,9.0
233,1,50,.,,.,,PUNCT,O,
233,2,1,Председатель,,председатель,,NOUN,O,
233,2,2,Европейской,европейская,Европейский,,PROPN,B-ORG,1.0
233,2,3,Комиссии,комиссия,Комиссия,,PROPN,I-ORG,1.0
233,2,4,Жан-Клод,,Жан-Клод,,PROPN,O,
233,2,5,Юнкер,,Юнкер,,PROPN,O,
233,2,6,мне,,я,,PRON,O,
233,2,7,глубоко,,глубоко,,ADV,O,
233,2,8,симпатичен,,симпатичный,,ADJ,O,
233,2,9,.,,.,,PUNCT,O,
233,3,1,Более,,более,,ADV,O,
233,3,2,обаятельного,,обаятельный,,ADJ,O,
233,3,3,",",,",",,PUNCT,O,
233,3,4,мудрого,,мудрый,,ADJ,O,
233,3,5,",",,",",,PUNCT,O,
233,3,6,опытного,,опытный,,ADJ,O,
233,3,7,",",,",",,PUNCT,O,
233,3,8,знающего,,знать,,VERB,O,
233,3,9,политика,,политика,,NOUN,O,
233,3,10,и,,и,,CCONJ,O,
233,3,11,одновременно,,одновременно,,ADV,O,
233,3,12,очень,,очень,,ADV,O,
233,3,13,легкого,,легкий,,ADJ,O,
233,3,14,",",,",",,PUNCT,O,
233,3,15,ироничного,,ироничный,,ADJ,O,
233,3,16,человека,,человек,,NOUN,O,
233,3,17,среди,,среди,,ADP,O,
233,3,18,лидеров,,лидер,,NOUN,O,
233,3,19,современного,,современный,,ADJ,O,
233,3,20,мира,,мир,,NOUN,O,
233,3,21,—,,—,,PUNCT,O,
233,3,22,поискать,,поискать,,VERB,O,
233,3,23,.,,.,,PUNCT,O,
233,4,1,Именно,,именно,,PART,O,
233,4,2,он,,он,,PRON,O,
233,4,3,—,,—,,PUNCT,O,
233,4,4,отец,,отец,,NOUN,O,
233,4,5,Люксембургского,,люксембургский,,ADJ,O,
233,4,6,экономического,,экономический,,ADJ,O,
233,4,7,чуда,,чудо,,NOUN,O,
233,4,8,.,,.,,PUNCT,O,
233,5,1,Поэтому,,поэтому,,ADV,O,
233,5,2,мне,,я,,PRON,O,
233,5,3,было,,быть,,AUX,O,
233,5,4,несколько,,несколько,,ADV,O,
233,5,5,досадно,,досадный,,ADJ,O,
233,5,6,читать,,читать,,VERB,O,
233,5,7,в,,в,,ADP,O,
233,5,8,иностранных,,иностранный,,ADJ,O,
233,5,9,и,,и,,CCONJ,O,
233,5,10,наших,,наш,,DET,O,
233,5,11,СМИ,,сми,,NOUN,O,
233,5,12,высокомерные,,высокомерный,,ADJ,O,
233,5,13,",",,",",,PUNCT,O,
233,5,14,пренебрежительные,,пренебрежительный,,ADJ,O,
233,5,15,и,,и,,CCONJ,O,
233,5,16,крайне,,крайне,,ADV,O,
233,5,17,несправедливые,,несправедливый,,ADJ,O,
233,5,18,отклики,,отклик,,NOUN,O,
233,5,19,на,,на,,ADP,O,
233,5,20,его,,его,,DET,O,
233,5,21,очередную,,очередной,,ADJ,O,
233,5,22,ежегодную,,ежегодный,,ADJ,O,
233,5,23,«тронную,,этронный,,ADJ,O,
233,5,24,речь,,речь,,NOUN,O,
233,5,25,»,,»,,PUNCT,O,
233,5,26,—,,—,,PUNCT,O,
233,5,27,обращение,,обращение,,NOUN,O,
233,5,28,к,,к,,ADP,O,
233,5,29,Европейскому,европейский,Европейский,,PROPN,B-ORG,6.0
233,5,30,союзу,союз,союз,,NOUN,I-ORG,6.0
233,5,31,",",,",",,PUNCT,O,
233,5,32,имеющее,,иметь,,VERB,O,
233,5,33,тот,,тот,,DET,O,
233,5,34,же,,же,,PART,O,
233,5,35,статус,,статус,,NOUN,O,
233,5,36,",",,",",,PUNCT,O,
233,5,37,что,,что,,SCONJ,O,
233,5,38,на,,на,,ADP,O,
233,5,39,национальном,,национальный,,ADJ,O,
233,5,40,уровне,,уровень,,NOUN,O,
233,5,41,—,,теть,,VERB,O,
233,5,42,обращение,,обращение,,NOUN,O,
233,5,43,к,,к,,ADP,O,
233,5,44,нации,,нация,,NOUN,O,
233,5,45,.,,.,,PUNCT,O,
