docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
047,0,1,Джо,,джо,Npmsi,PROPN,O,
047,0,2,Байдън,,байдън,Hmsi,PROPN,O,
047,0,3,е,,съм,Vxitf-r3s,AUX,O,
047,0,4,сигурен,,сигурен,Amsi,ADJ,O,
047,0,5,в,,в,R,ADP,O,
047,0,6,победата,,победа,Ncfsd,NOUN,O,
047,1,1,Джо,,джо,Npmsi,PROPN,O,
047,1,2,Байдън,,байдън,Hmsi,PROPN,O,
047,1,3,изрази,,изразя-(се),Vpptf-o3s,VERB,O,
047,1,4,увереност,,увереност,Ncfsi,NOUN,O,
047,1,5,",",,",",punct,PUNCT,O,
047,1,6,че,,че,Cs,SCONJ,O,
047,1,7,печели,,печеля,Vpitf-r3s,VERB,O,
047,1,8,изборите,,избор,Ncmpd,NOUN,O,
047,1,9,в,,в,R,ADP,O,
047,1,10,ключовите,,ключов,A-pd,ADJ,O,
047,1,11,щати,,щат,Ncmpi,NOUN,O,
047,1,12,Пенсилвания,,пенсилвания,Npfsi,PROPN,O,
047,1,13,",",,",",punct,PUNCT,O,
047,1,14,Джорджия,,джорджия,Npfsi,PROPN,O,
047,1,15,и,,и,Cp,CCONJ,O,
047,1,16,Аризона,,аризона,Npfsi,PROPN,O,
047,1,17,.,,.,punct,PUNCT,O,
047,2,1,Кандидатът,,кандидат,Ncmsf,NOUN,O,
047,2,2,на,,на,R,ADP,O,
047,2,3,демократите,,демократ,Ncmpd,NOUN,O,
047,2,4,увери,,уверя-(се),Vpptf-o3s,VERB,O,
047,2,5,",",,",",punct,PUNCT,O,
047,2,6,че,,че,Cs,SCONJ,O,
047,2,7,е,,съм,Vxitf-r3s,AUX,O,
047,2,8,на,,на,R,ADP,O,
047,2,9,път,,път,Ncmsi,NOUN,O,
047,2,10,да,,да,Tx,AUX,O,
047,2,11,спечели,,спечеля,Vpptf-r3s,VERB,O,
047,2,12,над,,над,R,ADP,O,
047,2,13,300,,триста,Mc-pi,NUM,O,
047,2,14,електорални,,електорален,A-pi,ADJ,O,
047,2,15,гласа,,глас,Ncmt,NOUN,O,
047,2,16,при,,при,R,ADP,O,
047,2,17,необходими,,необходим,A-pi,ADJ,O,
047,2,18,му,,аз,Ppetds3m,PRON,O,
047,2,19,за,,за,R,ADP,O,
047,2,20,победата,,победа,Ncfsd,NOUN,O,
047,2,21,270.,,270.,Mc-pi,NUM,O,
